uni5BDC	U+5BDC	寜
uni5BDD	U+5BDD	寝
uni5BDE	U+5BDE	寞
uni5BDF	U+5BDF	察
uni5BE0	U+5BE0	寠
uni5BE1	U+5BE1	寡
uni5BE2	U+5BE2	寢
uni5BE3	U+5BE3	寣
uni5BE4	U+5BE4	寤
uni5BE5	U+5BE5	寥
uni5BE6	U+5BE6	實
uni5BE7	U+5BE7	寧
uni5BE8	U+5BE8	寨
uni5BE9	U+5BE9	審
uni5BEA	U+5BEA	寪
uni5BEB	U+5BEB	寫
uni5BEC	U+5BEC	寬
uni5BED	U+5BED	寭
uni5BEE	U+5BEE	寮
uni5BEF	U+5BEF	寯
uni5BF0	U+5BF0	寰
uni5BF1	U+5BF1	寱
uni5BF2	U+5BF2	寲
uni5BF3	U+5BF3	寳
uni5BF4	U+5BF4	寴
uni5BF5	U+5BF5	寵
uni5BF6	U+5BF6	寶
uni5BF7	U+5BF7	寷
uni5BF9	U+5BF9	对
uni5BFA	U+5BFA	寺
uni5BFB	U+5BFB	寻
uni5BFC	U+5BFC	导
uni5BFD	U+5BFD	寽
uni5BFE	U+5BFE	対
uni5BFF	U+5BFF	寿
uni5C00	U+5C00	尀
uni5C01	U+5C01	封
uni5C02	U+5C02	専
uni5C03	U+5C03	尃
uni5C04	U+5C04	射
uni5C05	U+5C05	尅
uni5C06	U+5C06	将
uni5C07	U+5C07	將
uni5C08	U+5C08	專
uni5C09	U+5C09	尉
uni5C0A	U+5C0A	尊
uni5C0B	U+5C0B	尋
uni5C0C	U+5C0C	尌
uni5C0D	U+5C0D	對
uni5C0E	U+5C0E	導
uni5C10	U+5C10	尐
uni5C11	U+5C11	少
uni5C12	U+5C12	尒
uni5C13	U+5C13	尓
uni5C14	U+5C14	尔
uni5C15	U+5C15	尕
uni5C16	U+5C16	尖
uni5C17	U+5C17	尗
uni5C18	U+5C18	尘
uni5C19	U+5C19	尙
uni5C1A	U+5C1A	尚
uni5C1B	U+5C1B	尛
uni5C1C	U+5C1C	尜
uni5C1D	U+5C1D	尝
uni5C1E	U+5C1E	尞
uni5C1F	U+5C1F	尟
uni5C20	U+5C20	尠
uni5C21	U+5C21	尡
uni5C24	U+5C24	尤
uni5C25	U+5C25	尥
uni5C26	U+5C26	尦
uni5C27	U+5C27	尧
uni5C28	U+5C28	尨
uni5C29	U+5C29	尩
uni5C2A	U+5C2A	尪
uni5C2B	U+5C2B	尫
uni5C2C	U+5C2C	尬
uni5C2D	U+5C2D	尭
uni5C2E	U+5C2E	尮
uni5C2F	U+5C2F	尯
uni5C30	U+5C30	尰
uni5C31	U+5C31	就
uni5C32	U+5C32	尲
uni5C33	U+5C33	尳
uni5C34	U+5C34	尴
uni5C35	U+5C35	尵
uni5C36	U+5C36	尶
uni5C37	U+5C37	尷
uni5C39	U+5C39	尹
uni5C3A	U+5C3A	尺
uni5C3B	U+5C3B	尻
uni5C3C	U+5C3C	尼
uni5C3D	U+5C3D	尽
uni5C3E	U+5C3E	尾
uni5C3F	U+5C3F	尿
uni5C40	U+5C40	局
uni5C41	U+5C41	屁
uni5C42	U+5C42	层
uni5C43	U+5C43	屃
uni5C44	U+5C44	屄
uni5C45	U+5C45	居
uni5C46	U+5C46	屆
uni5C47	U+5C47	屇
uni5C48	U+5C48	屈
uni5C49	U+5C49	屉
uni5C4A	U+5C4A	届
uni5C4B	U+5C4B	屋
uni5C4C	U+5C4C	屌
uni5C4D	U+5C4D	屍
uni5C4E	U+5C4E	屎
uni5C4F	U+5C4F	屏
uni5C50	U+5C50	屐
uni5C51	U+5C51	屑
uni5C52	U+5C52	屒
uni5C53	U+5C53	屓
uni5C54	U+5C54	屔
uni5C55	U+5C55	展
uni5C56	U+5C56	屖
uni5C57	U+5C57	屗
uni5C58	U+5C58	屘
uni5C59	U+5C59	屙
uni5C5A	U+5C5A	屚
uni5C5B	U+5C5B	屛
uni5C5C	U+5C5C	屜
uni5C5D	U+5C5D	屝
uni5C5E	U+5C5E	属
uni5C5F	U+5C5F	屟
uni5C60	U+5C60	屠
uni5C61	U+5C61	屡
uni5C62	U+5C62	屢
uni5C63	U+5C63	屣
uni5C64	U+5C64	層
uni5C65	U+5C65	履
uni5C66	U+5C66	屦
uni5C67	U+5C67	屧
uni5C68	U+5C68	屨
uni5C69	U+5C69	屩
uni5C6A	U+5C6A	屪
uni5C6B	U+5C6B	屫
uni5C6C	U+5C6C	屬
uni5C6D	U+5C6D	屭
uni5C6F	U+5C6F	屯
uni5C70	U+5C70	屰
uni5C72	U+5C72	屲
uni5C73	U+5C73	屳
uni5C74	U+5C74	屴
uni5C75	U+5C75	屵
uni5C76	U+5C76	屶
uni5C77	U+5C77	屷
uni5C78	U+5C78	屸
uni5C79	U+5C79	屹
uni5C7A	U+5C7A	屺
uni5C7B	U+5C7B	屻
uni5C7C	U+5C7C	屼
uni5C7D	U+5C7D	屽
uni5C7E	U+5C7E	屾
uni5C7F	U+5C7F	屿
uni5C80	U+5C80	岀
uni5C81	U+5C81	岁
uni5C82	U+5C82	岂
uni5C83	U+5C83	岃
uni5C84	U+5C84	岄
uni5C85	U+5C85	岅
uni5C86	U+5C86	岆
uni5C87	U+5C87	岇
uni5C88	U+5C88	岈
uni5C89	U+5C89	岉
uni5C8A	U+5C8A	岊
uni5C8B	U+5C8B	岋
uni5C8C	U+5C8C	岌
uni5C8D	U+5C8D	岍
uni5C8E	U+5C8E	岎
uni5C8F	U+5C8F	岏
uni5C90	U+5C90	岐
uni5C91	U+5C91	岑
uni5C92	U+5C92	岒
uni5C93	U+5C93	岓
uni5C94	U+5C94	岔
uni5C95	U+5C95	岕
uni5C96	U+5C96	岖
uni5C97	U+5C97	岗
uni5C98	U+5C98	岘
uni5C99	U+5C99	岙
uni5C9A	U+5C9A	岚
uni5C9B	U+5C9B	岛
uni5C9C	U+5C9C	岜
uni5C9D	U+5C9D	岝
uni5C9E	U+5C9E	岞
uni5C9F	U+5C9F	岟
uni5CA0	U+5CA0	岠
uni5CA1	U+5CA1	岡
uni5CA2	U+5CA2	岢
uni5CA3	U+5CA3	岣
uni5CA4	U+5CA4	岤
uni5CA5	U+5CA5	岥
uni5CA6	U+5CA6	岦
uni5CA7	U+5CA7	岧
uni5CA8	U+5CA8	岨
uni5CA9	U+5CA9	岩
uni5CAA	U+5CAA	岪
uni5CAB	U+5CAB	岫
uni5CAC	U+5CAC	岬
uni5CAD	U+5CAD	岭
uni5CAE	U+5CAE	岮
uni5CAF	U+5CAF	岯
uni5CB0	U+5CB0	岰
uni5CB1	U+5CB1	岱
uni5CB2	U+5CB2	岲
uni5CB3	U+5CB3	岳
uni5CB4	U+5CB4	岴
uni5CB5	U+5CB5	岵
uni5CB6	U+5CB6	岶
uni5CB7	U+5CB7	岷
uni5CB8	U+5CB8	岸
uni5CB9	U+5CB9	岹
uni5CBA	U+5CBA	岺
uni5CBB	U+5CBB	岻
uni5CBC	U+5CBC	岼
uni5CBD	U+5CBD	岽
uni5CBE	U+5CBE	岾
uni5CBF	U+5CBF	岿
uni5CC0	U+5CC0	峀
uni5CC1	U+5CC1	峁
uni5CC2	U+5CC2	峂
uni5CC3	U+5CC3	峃
uni5CC4	U+5CC4	峄
uni5CC5	U+5CC5	峅
uni5CC6	U+5CC6	峆
uni5CC7	U+5CC7	峇
uni5CC8	U+5CC8	峈
uni5CC9	U+5CC9	峉
uni5CCA	U+5CCA	峊
uni5CCB	U+5CCB	峋
uni5CCC	U+5CCC	峌
uni5CCD	U+5CCD	峍
uni5CCE	U+5CCE	峎
uni5CCF	U+5CCF	峏
uni5CD0	U+5CD0	峐
uni5CD1	U+5CD1	峑
uni5CD2	U+5CD2	峒
uni5CD3	U+5CD3	峓
uni5CD4	U+5CD4	峔
uni5CD5	U+5CD5	峕
uni5CD6	U+5CD6	峖
uni5CD7	U+5CD7	峗
uni5CD8	U+5CD8	峘
uni5CD9	U+5CD9	峙
uni5CDA	U+5CDA	峚
uni5CDB	U+5CDB	峛
uni5CDC	U+5CDC	峜
uni5CDD	U+5CDD	峝
uni5CDE	U+5CDE	峞
uni5CDF	U+5CDF	峟
uni5CE0	U+5CE0	峠
uni5CE1	U+5CE1	峡
uni5CE2	U+5CE2	峢
uni5CE3	U+5CE3	峣
uni5CE4	U+5CE4	峤
uni5CE5	U+5CE5	峥
uni5CE6	U+5CE6	峦
uni5CE7	U+5CE7	峧
uni5CE8	U+5CE8	峨
uni5CE9	U+5CE9	峩
uni5CEA	U+5CEA	峪
uni5CEB	U+5CEB	峫
uni5CEC	U+5CEC	峬
uni5CED	U+5CED	峭
uni5CEE	U+5CEE	峮
uni5CEF	U+5CEF	峯
uni5CF0	U+5CF0	峰
uni5CF1	U+5CF1	峱
uni5CF2	U+5CF2	峲
uni5CF3	U+5CF3	峳
uni5CF4	U+5CF4	峴
uni5CF5	U+5CF5	峵
uni5CF6	U+5CF6	島
uni5CF7	U+5CF7	峷
uni5CF8	U+5CF8	峸
uni5CF9	U+5CF9	峹
uni5CFA	U+5CFA	峺
uni5CFB	U+5CFB	峻
uni5CFC	U+5CFC	峼
uni5CFD	U+5CFD	峽
uni5CFE	U+5CFE	峾
uni5CFF	U+5CFF	峿
uni5D00	U+5D00	崀
uni5D01	U+5D01	崁
uni5D02	U+5D02	崂
uni5D03	U+5D03	崃
uni5D04	U+5D04	崄
uni5D05	U+5D05	崅
uni5D06	U+5D06	崆
uni5D07	U+5D07	崇
uni5D08	U+5D08	崈
uni5D09	U+5D09	崉
uni5D0A	U+5D0A	崊
uni5D0B	U+5D0B	崋
uni5D0C	U+5D0C	崌
uni5D0D	U+5D0D	崍
uni5D0E	U+5D0E	崎
uni5D0F	U+5D0F	崏
uni5D10	U+5D10	崐
uni5D11	U+5D11	崑
uni5D12	U+5D12	崒
uni5D13	U+5D13	崓
uni5D14	U+5D14	崔
uni5D15	U+5D15	崕
uni5D16	U+5D16	崖
uni5D17	U+5D17	崗
uni5D18	U+5D18	崘
uni5D19	U+5D19	崙
uni5D1A	U+5D1A	崚
uni5D1B	U+5D1B	崛
uni5D1C	U+5D1C	崜
uni5D1D	U+5D1D	崝
uni5D1E	U+5D1E	崞
uni5D1F	U+5D1F	崟
uni5D20	U+5D20	崠
uni5D21	U+5D21	崡
uni5D22	U+5D22	崢
uni5D23	U+5D23	崣
uni5D24	U+5D24	崤
uni5D25	U+5D25	崥
uni5D26	U+5D26	崦
uni5D27	U+5D27	崧
uni5D28	U+5D28	崨
uni5D29	U+5D29	崩
uni5D2A	U+5D2A	崪
uni5D2B	U+5D2B	崫
uni5D2C	U+5D2C	崬
uni5D2D	U+5D2D	崭
uni5D2E	U+5D2E	崮
uni5D2F	U+5D2F	崯
uni5D30	U+5D30	崰
uni5D31	U+5D31	崱
uni5D32	U+5D32	崲
uni5D33	U+5D33	崳
uni5D34	U+5D34	崴
uni5D35	U+5D35	崵
uni5D36	U+5D36	崶
uni5D37	U+5D37	崷
uni5D38	U+5D38	崸
uni5D39	U+5D39	崹
uni5D3A	U+5D3A	崺
uni5D3B	U+5D3B	崻
uni5D3C	U+5D3C	崼
uni5D3D	U+5D3D	崽
uni5D3E	U+5D3E	崾
uni5D3F	U+5D3F	崿
uni5D40	U+5D40	嵀
uni5D41	U+5D41	嵁
uni5D42	U+5D42	嵂
uni5D43	U+5D43	嵃
uni5D44	U+5D44	嵄
uni5D45	U+5D45	嵅
uni5D46	U+5D46	嵆
uni5D47	U+5D47	嵇
uni5D48	U+5D48	嵈
uni5D49	U+5D49	嵉
uni5D4A	U+5D4A	嵊
uni5D4B	U+5D4B	嵋
uni5D4C	U+5D4C	嵌
uni5D4D	U+5D4D	嵍
uni5D4E	U+5D4E	嵎
uni5D4F	U+5D4F	嵏
uni5D50	U+5D50	嵐
uni5D51	U+5D51	嵑
uni5D52	U+5D52	嵒
uni5D53	U+5D53	嵓
uni5D54	U+5D54	嵔
uni5D55	U+5D55	嵕
uni5D56	U+5D56	嵖
uni5D57	U+5D57	嵗
uni5D58	U+5D58	嵘
uni5D59	U+5D59	嵙
uni5D5A	U+5D5A	嵚
uni5D5B	U+5D5B	嵛
uni5D5C	U+5D5C	嵜
uni5D5D	U+5D5D	嵝
uni5D5E	U+5D5E	嵞
uni5D5F	U+5D5F	嵟
uni5D60	U+5D60	嵠
uni5D61	U+5D61	嵡
uni5D62	U+5D62	嵢
uni5D63	U+5D63	嵣
uni5D64	U+5D64	嵤
uni5D65	U+5D65	嵥
uni5D66	U+5D66	嵦
uni5D67	U+5D67	嵧
uni5D68	U+5D68	嵨
uni5D69	U+5D69	嵩
uni5D6A	U+5D6A	嵪
uni5D6B	U+5D6B	嵫
uni5D6C	U+5D6C	嵬
uni5D6D	U+5D6D	嵭
uni5D6E	U+5D6E	嵮
uni5D6F	U+5D6F	嵯
uni5D70	U+5D70	嵰
uni5D71	U+5D71	嵱
uni5D72	U+5D72	嵲
uni5D73	U+5D73	嵳
uni5D74	U+5D74	嵴
uni5D75	U+5D75	嵵
uni5D76	U+5D76	嵶
uni5D77	U+5D77	嵷
uni5D78	U+5D78	嵸
uni5D79	U+5D79	嵹
uni5D7A	U+5D7A	嵺
uni5D7B	U+5D7B	嵻
uni5D7C	U+5D7C	嵼
uni5D7D	U+5D7D	嵽
uni5D7E	U+5D7E	嵾
uni5D7F	U+5D7F	嵿
uni5D80	U+5D80	嶀
uni5D81	U+5D81	嶁
uni5D82	U+5D82	嶂
uni5D83	U+5D83	嶃
uni5D84	U+5D84	嶄
uni5D85	U+5D85	嶅
uni5D86	U+5D86	嶆
uni5D87	U+5D87	嶇
uni5D88	U+5D88	嶈
uni5D89	U+5D89	嶉
uni5D8A	U+5D8A	嶊
uni5D8B	U+5D8B	嶋
uni5D8C	U+5D8C	嶌
uni5D8D	U+5D8D	嶍
uni5D8E	U+5D8E	嶎
uni5D8F	U+5D8F	嶏
uni5D90	U+5D90	嶐
uni5D91	U+5D91	嶑
uni5D92	U+5D92	嶒
uni5D93	U+5D93	嶓
uni5D94	U+5D94	嶔
uni5D95	U+5D95	嶕
uni5D96	U+5D96	嶖
uni5D97	U+5D97	嶗
uni5D98	U+5D98	嶘
uni5D99	U+5D99	嶙
uni5D9A	U+5D9A	嶚
uni5D9B	U+5D9B	嶛
uni5D9C	U+5D9C	嶜
uni5D9D	U+5D9D	嶝
uni5D9E	U+5D9E	嶞
uni5D9F	U+5D9F	嶟
uni5DA0	U+5DA0	嶠
uni5DA1	U+5DA1	嶡
uni5DA2	U+5DA2	嶢
uni5DA3	U+5DA3	嶣
uni5DA4	U+5DA4	嶤
uni5DA5	U+5DA5	嶥
uni5DA6	U+5DA6	嶦
uni5DA7	U+5DA7	嶧
uni5DA8	U+5DA8	嶨
uni5DA9	U+5DA9	嶩
uni5DAA	U+5DAA	嶪
uni5DAB	U+5DAB	嶫
uni5DAC	U+5DAC	嶬
uni5DAD	U+5DAD	嶭
uni5DAE	U+5DAE	嶮
uni5DAF	U+5DAF	嶯
uni5DB0	U+5DB0	嶰
uni5DB1	U+5DB1	嶱
uni5DB2	U+5DB2	嶲
uni5DB3	U+5DB3	嶳
uni5DB4	U+5DB4	嶴
uni5DB5	U+5DB5	嶵
uni5DB6	U+5DB6	嶶
uni5DB7	U+5DB7	嶷
uni5DB8	U+5DB8	嶸
uni5DB9	U+5DB9	嶹
uni5DBA	U+5DBA	嶺
uni5DBB	U+5DBB	嶻
uni5DBC	U+5DBC	嶼
uni5DBD	U+5DBD	嶽
uni5DBE	U+5DBE	嶾
uni5DBF	U+5DBF	嶿
uni5DC0	U+5DC0	巀
uni5DC1	U+5DC1	巁
uni5DC2	U+5DC2	巂
uni5DC3	U+5DC3	巃
uni5DC4	U+5DC4	巄
uni5DC5	U+5DC5	巅
uni5DC6	U+5DC6	巆
uni5DC7	U+5DC7	巇
uni5DC8	U+5DC8	巈
uni5DC9	U+5DC9	巉
uni5DCA	U+5DCA	巊
uni5DCB	U+5DCB	巋
uni5DCC	U+5DCC	巌
uni5DCD	U+5DCD	巍
uni5DCE	U+5DCE	巎
uni5DCF	U+5DCF	巏
uni5DD0	U+5DD0	巐
uni5DD1	U+5DD1	巑
uni5DD2	U+5DD2	巒
uni5DD3	U+5DD3	巓
uni5DD4	U+5DD4	巔
uni5DD5	U+5DD5	巕
uni5DD6	U+5DD6	巖
uni5DD7	U+5DD7	巗
uni5DD8	U+5DD8	巘
uni5DD9	U+5DD9	巙
uni5DDA	U+5DDA	巚
uni5DDC	U+5DDC	巜
uni5DDD	U+5DDD	川
uni5DDE	U+5DDE	州
uni5DDF	U+5DDF	巟
uni5DE0	U+5DE0	巠
uni5DE1	U+5DE1	巡
uni5DE2	U+5DE2	巢
uni5DE3	U+5DE3	巣
uni5DE4	U+5DE4	巤
uni5DE6	U+5DE6	左
uni5DE7	U+5DE7	巧
uni5DE8	U+5DE8	巨
uni5DE9	U+5DE9	巩
uni5DEA	U+5DEA	巪
uni5DEB	U+5DEB	巫
uni5DEC	U+5DEC	巬
uni5DED	U+5DED	巭
uni5DEE	U+5DEE	差
uni5DEF	U+5DEF	巯
uni5DF0	U+5DF0	巰
uni5DF2	U+5DF2	已
uni5DF4	U+5DF4	巴
uni5DF5	U+5DF5	巵
uni5DF6	U+5DF6	巶
uni5DF7	U+5DF7	巷
uni5DF8	U+5DF8	巸
uni5DF9	U+5DF9	巹
uni5DFA	U+5DFA	巺
uni5DFB	U+5DFB	巻
uni5DFC	U+5DFC	巼
uni5DFD	U+5DFD	巽
uni5DFF	U+5DFF	巿
uni5E00	U+5E00	帀
uni5E01	U+5E01	币
uni5E02	U+5E02	市
uni5E03	U+5E03	布
uni5E04	U+5E04	帄
uni5E05	U+5E05	帅
uni5E06	U+5E06	帆
uni5E07	U+5E07	帇
uni5E08	U+5E08	师
uni5E09	U+5E09	帉
uni5E0A	U+5E0A	帊
uni5E0B	U+5E0B	帋
uni5E0C	U+5E0C	希
uni5E0D	U+5E0D	帍
uni5E0E	U+5E0E	帎
uni5E0F	U+5E0F	帏
uni5E10	U+5E10	帐
uni5E11	U+5E11	帑
uni5E12	U+5E12	帒
uni5E13	U+5E13	帓
uni5E14	U+5E14	帔
uni5E15	U+5E15	帕
uni5E16	U+5E16	帖
uni5E17	U+5E17	帗
uni5E18	U+5E18	帘
uni5E19	U+5E19	帙
uni5E1A	U+5E1A	帚
uni5E1B	U+5E1B	帛
uni5E1C	U+5E1C	帜
uni5E1D	U+5E1D	帝
uni5E1E	U+5E1E	帞
uni5E1F	U+5E1F	帟
uni5E20	U+5E20	帠
uni5E21	U+5E21	帡
uni5E22	U+5E22	帢
uni5E23	U+5E23	帣
uni5E24	U+5E24	帤
uni5E25	U+5E25	帥
uni5E26	U+5E26	带
uni5E27	U+5E27	帧
uni5E28	U+5E28	帨
uni5E29	U+5E29	帩
uni5E2A	U+5E2A	帪
uni5E2B	U+5E2B	師
uni5E2C	U+5E2C	帬
uni5E2D	U+5E2D	席
uni5E2E	U+5E2E	帮
uni5E2F	U+5E2F	帯
uni5E30	U+5E30	帰
uni5E31	U+5E31	帱
uni5E32	U+5E32	帲
uni5E33	U+5E33	帳
uni5E34	U+5E34	帴
uni5E35	U+5E35	帵
uni5E36	U+5E36	帶
uni5E37	U+5E37	帷
uni5E38	U+5E38	常
uni5E39	U+5E39	帹
uni5E3A	U+5E3A	帺
uni5E3B	U+5E3B	帻
uni5E3C	U+5E3C	帼
uni5E3D	U+5E3D	帽
uni5E3E	U+5E3E	帾
uni5E3F	U+5E3F	帿
uni5E40	U+5E40	幀
uni5E41	U+5E41	幁
uni5E42	U+5E42	幂
uni5E43	U+5E43	幃
uni5E44	U+5E44	幄
uni5E45	U+5E45	幅
uni5E46	U+5E46	幆
uni5E47	U+5E47	幇
uni5E48	U+5E48	幈
uni5E49	U+5E49	幉
uni5E4A	U+5E4A	幊
uni5E4B	U+5E4B	幋
uni5E4C	U+5E4C	幌
uni5E4D	U+5E4D	幍
uni5E4E	U+5E4E	幎
uni5E4F	U+5E4F	幏
uni5E51	U+5E51	幑
uni5E52	U+5E52	幒
uni5E53	U+5E53	幓
uni5E54	U+5E54	幔
uni5E55	U+5E55	幕
uni5E56	U+5E56	幖
uni5E57	U+5E57	幗
uni5E58	U+5E58	幘
uni5E59	U+5E59	幙
uni5E5A	U+5E5A	幚
uni5E5B	U+5E5B	幛
uni5E5C	U+5E5C	幜
uni5E5D	U+5E5D	幝
uni5E5E	U+5E5E	幞
uni5E5F	U+5E5F	幟
uni5E60	U+5E60	幠
uni5E61	U+5E61	幡
uni5E62	U+5E62	幢
uni5E63	U+5E63	幣
uni5E64	U+5E64	幤
uni5E65	U+5E65	幥
uni5E66	U+5E66	幦
uni5E67	U+5E67	幧
uni5E68	U+5E68	幨
uni5E69	U+5E69	幩
uni5E6A	U+5E6A	幪
uni5E6B	U+5E6B	幫
uni5E6C	U+5E6C	幬
uni5E6D	U+5E6D	幭
uni5E6E	U+5E6E	幮
uni5E6F	U+5E6F	幯
uni5E70	U+5E70	幰
uni5E71	U+5E71	幱
uni5E73	U+5E73	平
uni5E74	U+5E74	年
uni5E75	U+5E75	幵
uni5E76	U+5E76	并
uni5E77	U+5E77	幷
uni5E78	U+5E78	幸
uni5E79	U+5E79	幹
uni5E7B	U+5E7B	幻
uni5E7C	U+5E7C	幼
uni5E7D	U+5E7D	幽
uni5E7E	U+5E7E	幾
uni5E80	U+5E80	庀
uni5E81	U+5E81	庁
uni5E82	U+5E82	庂
