uni2431A	U+2431A	𤌚
uni24334	U+24334	𤌴
uni24348	U+24348	𤍈
uni24362	U+24362	𤍢
uni24363	U+24363	𤍣
uni24364	U+24364	𤍤
uni24365	U+24365	𤍥
uni2438C	U+2438C	𤎌
uni24396	U+24396	𤎖
uni2439C	U+2439C	𤎜
uni2439D	U+2439D	𤎝
uni243BC	U+243BC	𤎼
uni243BD	U+243BD	𤎽
uni243C1	U+243C1	𤏁
uni243D0	U+243D0	𤏐
uni243E9	U+243E9	𤏩
uni243EA	U+243EA	𤏪
uni243F2	U+243F2	𤏲
uni243F8	U+243F8	𤏸
uni24404	U+24404	𤐄
uni24435	U+24435	𤐵
uni24436	U+24436	𤐶
uni2445A	U+2445A	𤑚
uni2445B	U+2445B	𤑛
uni24473	U+24473	𤑳
uni24487	U+24487	𤒇
uni24488	U+24488	𤒈
uni244B9	U+244B9	𤒹
uni244BC	U+244BC	𤒼
uni244CE	U+244CE	𤓎
uni244D3	U+244D3	𤓓
uni244D6	U+244D6	𤓖
uni24505	U+24505	𤔅
uni24521	U+24521	𤔡
uni24578	U+24578	𤕸
uni245C8	U+245C8	𤗈
uni24618	U+24618	𤘘
uni24629	U+24629	𤘩
uni2462A	U+2462A	𤘪
uni24665	U+24665	𤙥
uni24674	U+24674	𤙴
uni24697	U+24697	𤚗
uni246A5	U+246A5	𤚥
uni246D4	U+246D4	𤛔
uni24706	U+24706	𤜆
uni24725	U+24725	𤜥
uni2472F	U+2472F	𤜯
uni2478F	U+2478F	𤞏
uni247E0	U+247E0	𤟠
uni247F1	U+247F1	𤟱
uni24812	U+24812	𤠒
uni24823	U+24823	𤠣
uni24882	U+24882	𤢂
uni24896	U+24896	𤢖
uni248F0	U+248F0	𤣰
uni248F1	U+248F1	𤣱
uni248F2	U+248F2	𤣲
uni248F3	U+248F3	𤣳
uni248FB	U+248FB	𤣻
uni248FF	U+248FF	𤣿
uni24900	U+24900	𤤀
uni24901	U+24901	𤤁
uni2490C	U+2490C	𤤌
uni24916	U+24916	𤤖
uni24917	U+24917	𤤗
uni24919	U+24919	𤤙
uni2492F	U+2492F	𤤯
uni24933	U+24933	𤤳
uni24934	U+24934	𤤴
uni2493E	U+2493E	𤤾
uni2493F	U+2493F	𤤿
uni24940	U+24940	𤥀
uni24941	U+24941	𤥁
uni24942	U+24942	𤥂
uni24943	U+24943	𤥃
uni24962	U+24962	𤥢
uni24963	U+24963	𤥣
uni24974	U+24974	𤥴
uni24975	U+24975	𤥵
uni24976	U+24976	𤥶
uni2497B	U+2497B	𤥻
uni2497F	U+2497F	𤥿
uni24982	U+24982	𤦂
uni24988	U+24988	𤦈
uni24989	U+24989	𤦉
uni2498A	U+2498A	𤦊
uni2498B	U+2498B	𤦋
uni2498C	U+2498C	𤦌
uni2498D	U+2498D	𤦍
uni2498E	U+2498E	𤦎
uni2498F	U+2498F	𤦏
uni24994	U+24994	𤦔
uni249A4	U+249A4	𤦤
uni249A7	U+249A7	𤦧
uni249A9	U+249A9	𤦩
uni249AB	U+249AB	𤦫
uni249AC	U+249AC	𤦬
uni249AD	U+249AD	𤦭
uni249B7	U+249B7	𤦷
uni249B8	U+249B8	𤦸
uni249B9	U+249B9	𤦹
uni249BA	U+249BA	𤦺
uni249BB	U+249BB	𤦻
uni249C5	U+249C5	𤧅
uni249D0	U+249D0	𤧐
uni249DA	U+249DA	𤧚
uni249DB	U+249DB	𤧛
uni249DE	U+249DE	𤧞
uni249DF	U+249DF	𤧟
uni249E3	U+249E3	𤧣
uni249E5	U+249E5	𤧥
uni249EC	U+249EC	𤧬
uni249ED	U+249ED	𤧭
uni249F6	U+249F6	𤧶
uni249F7	U+249F7	𤧷
uni249F8	U+249F8	𤧸
uni249F9	U+249F9	𤧹
uni249FB	U+249FB	𤧻
uni24A0E	U+24A0E	𤨎
uni24A12	U+24A12	𤨒
uni24A13	U+24A13	𤨓
uni24A15	U+24A15	𤨕
uni24A21	U+24A21	𤨡
uni24A22	U+24A22	𤨢
uni24A23	U+24A23	𤨣
uni24A24	U+24A24	𤨤
uni24A25	U+24A25	𤨥
uni24A26	U+24A26	𤨦
uni24A27	U+24A27	𤨧
uni24A28	U+24A28	𤨨
uni24A29	U+24A29	𤨩
uni24A2A	U+24A2A	𤨪
uni24A3E	U+24A3E	𤨾
uni24A42	U+24A42	𤩂
uni24A45	U+24A45	𤩅
uni24A4A	U+24A4A	𤩊
uni24A4D	U+24A4D	𤩍
uni24A4E	U+24A4E	𤩎
uni24A4F	U+24A4F	𤩏
uni24A50	U+24A50	𤩐
uni24A51	U+24A51	𤩑
uni24A5D	U+24A5D	𤩝
uni24A65	U+24A65	𤩥
uni24A66	U+24A66	𤩦
uni24A67	U+24A67	𤩧
uni24A71	U+24A71	𤩱
uni24A77	U+24A77	𤩷
uni24A78	U+24A78	𤩸
uni24A79	U+24A79	𤩹
uni24A7A	U+24A7A	𤩺
uni24A7D	U+24A7D	𤩽
uni24A8C	U+24A8C	𤪌
uni24A93	U+24A93	𤪓
uni24A94	U+24A94	𤪔
uni24A95	U+24A95	𤪕
uni24A96	U+24A96	𤪖
uni24AA4	U+24AA4	𤪤
uni24AA5	U+24AA5	𤪥
uni24AA6	U+24AA6	𤪦
uni24AA7	U+24AA7	𤪧
uni24AB1	U+24AB1	𤪱
uni24AB2	U+24AB2	𤪲
uni24AB3	U+24AB3	𤪳
uni24ABA	U+24ABA	𤪺
uni24ABB	U+24ABB	𤪻
uni24ABC	U+24ABC	𤪼
uni24AC0	U+24AC0	𤫀
uni24AC7	U+24AC7	𤫇
uni24AC9	U+24AC9	𤫉
uni24ACA	U+24ACA	𤫊
uni24AD1	U+24AD1	𤫑
uni24ADF	U+24ADF	𤫟
uni24AE2	U+24AE2	𤫢
uni24AE9	U+24AE9	𤫩
uni24B0F	U+24B0F	𤬏
uni24B56	U+24B56	𤭖
uni24B6E	U+24B6E	𤭮
uni24B6F	U+24B6F	𤭯
uni24BF5	U+24BF5	𤯵
uni24C09	U+24C09	𤰉
uni24C16	U+24C16	𤰖
uni24C9E	U+24C9E	𤲞
uni24C9F	U+24C9F	𤲟
uni24CC9	U+24CC9	𤳉
uni24CD9	U+24CD9	𤳙
uni24D06	U+24D06	𤴆
uni24D13	U+24D13	𤴓
uni24D14	U+24D14	𤴔
uni24DB8	U+24DB8	𤶸
uni24DEA	U+24DEA	𤷪
uni24DEB	U+24DEB	𤷫
uni24E04	U+24E04	𤸄
uni24E0E	U+24E0E	𤸎
uni24E37	U+24E37	𤸷
uni24E3B	U+24E3B	𤸻
uni24E50	U+24E50	𤹐
uni24E6A	U+24E6A	𤹪
uni24E8B	U+24E8B	𤺋
uni24EA5	U+24EA5	𤺥
uni24EA7	U+24EA7	𤺧
uni24F0E	U+24F0E	𤼎
uni24F5C	U+24F5C	𤽜
uni24F82	U+24F82	𤾂
uni24F86	U+24F86	𤾆
uni24F97	U+24F97	𤾗
uni24F9A	U+24F9A	𤾚
uni24FA9	U+24FA9	𤾩
uni24FB8	U+24FB8	𤾸
uni24FC2	U+24FC2	𤿂
uni24FF2	U+24FF2	𤿲
uni2502C	U+2502C	𥀬
uni2504A	U+2504A	𥁊
