uni4A9E	U+4A9E	䪞
uni4C52	U+4C52	䱒
uni4C53	U+4C53	䱓
uni4C54	U+4C54	䱔
uni4C55	U+4C55	䱕
uni4C56	U+4C56	䱖
uni4C57	U+4C57	䱗
uni4C58	U+4C58	䱘
uni4C59	U+4C59	䱙
uni4C5A	U+4C5A	䱚
uni4C5B	U+4C5B	䱛
uni4C5C	U+4C5C	䱜
uni4C5D	U+4C5D	䱝
uni4C5E	U+4C5E	䱞
uni4C5F	U+4C5F	䱟
uni4C60	U+4C60	䱠
uni4C61	U+4C61	䱡
uni4C62	U+4C62	䱢
uni4C63	U+4C63	䱣
uni4C64	U+4C64	䱤
uni4C65	U+4C65	䱥
uni4C66	U+4C66	䱦
uni4C67	U+4C67	䱧
uni4C68	U+4C68	䱨
uni4C69	U+4C69	䱩
uni4C6A	U+4C6A	䱪
uni4C6B	U+4C6B	䱫
uni4C6C	U+4C6C	䱬
uni4C6D	U+4C6D	䱭
uni4C6E	U+4C6E	䱮
uni4C6F	U+4C6F	䱯
uni4C70	U+4C70	䱰
uni4C71	U+4C71	䱱
uni4C72	U+4C72	䱲
uni4C73	U+4C73	䱳
uni4C74	U+4C74	䱴
uni4C75	U+4C75	䱵
uni4C76	U+4C76	䱶
uni4C77	U+4C77	䱷
uni4C78	U+4C78	䱸
uni4C79	U+4C79	䱹
uni4C7A	U+4C7A	䱺
uni4C7B	U+4C7B	䱻
uni4C7C	U+4C7C	䱼
uni4C7D	U+4C7D	䱽
uni4C7E	U+4C7E	䱾
uni4C7F	U+4C7F	䱿
uni4C80	U+4C80	䲀
uni4C81	U+4C81	䲁
uni4C82	U+4C82	䲂
uni4C83	U+4C83	䲃
uni4C84	U+4C84	䲄
uni4C85	U+4C85	䲅
uni4C86	U+4C86	䲆
uni4C87	U+4C87	䲇
uni4C88	U+4C88	䲈
uni4C89	U+4C89	䲉
uni4C8A	U+4C8A	䲊
uni4C8B	U+4C8B	䲋
uni4C8C	U+4C8C	䲌
uni4C8D	U+4C8D	䲍
uni4C8E	U+4C8E	䲎
uni4C8F	U+4C8F	䲏
uni4C90	U+4C90	䲐
uni4C91	U+4C91	䲑
uni4C92	U+4C92	䲒
uni4C93	U+4C93	䲓
uni4C94	U+4C94	䲔
uni4C95	U+4C95	䲕
uni4C96	U+4C96	䲖
uni4C97	U+4C97	䲗
uni4C98	U+4C98	䲘
uni4C99	U+4C99	䲙
uni4C9A	U+4C9A	䲚
uni4C9B	U+4C9B	䲛
uni4C9C	U+4C9C	䲜
uni4C9D	U+4C9D	䲝
uni4C9E	U+4C9E	䲞
uni4C9F	U+4C9F	䲟
uni4CA0	U+4CA0	䲠
uni4CA1	U+4CA1	䲡
uni4CA2	U+4CA2	䲢
uni4CA3	U+4CA3	䲣
uni4CA4	U+4CA4	䲤
uni4CA5	U+4CA5	䲥
uni4CA6	U+4CA6	䲦
uni4CA7	U+4CA7	䲧
uni4CA8	U+4CA8	䲨
uni4CA9	U+4CA9	䲩
uni4CAA	U+4CAA	䲪
uni4CAB	U+4CAB	䲫
uni4CAC	U+4CAC	䲬
uni4CAD	U+4CAD	䲭
uni4CAE	U+4CAE	䲮
uni4CAF	U+4CAF	䲯
uni4CB0	U+4CB0	䲰
uni4CB1	U+4CB1	䲱
uni4CB2	U+4CB2	䲲
uni4CB3	U+4CB3	䲳
uni4CB4	U+4CB4	䲴
uni4CB5	U+4CB5	䲵
uni4CB6	U+4CB6	䲶
uni4CB7	U+4CB7	䲷
uni4CB8	U+4CB8	䲸
uni4CB9	U+4CB9	䲹
uni4CBA	U+4CBA	䲺
uni4CBB	U+4CBB	䲻
uni4CBC	U+4CBC	䲼
uni4CBD	U+4CBD	䲽
uni4CBE	U+4CBE	䲾
uni4CBF	U+4CBF	䲿
uni4CC0	U+4CC0	䳀
uni4CC1	U+4CC1	䳁
uni4CC2	U+4CC2	䳂
uni4CC3	U+4CC3	䳃
uni4CC4	U+4CC4	䳄
uni4CC5	U+4CC5	䳅
uni4CC6	U+4CC6	䳆
uni4CC7	U+4CC7	䳇
uni4CC8	U+4CC8	䳈
uni4CC9	U+4CC9	䳉
uni4CCA	U+4CCA	䳊
uni4CCB	U+4CCB	䳋
uni4CCC	U+4CCC	䳌
uni4CCD	U+4CCD	䳍
uni4CCE	U+4CCE	䳎
uni4CCF	U+4CCF	䳏
uni4CD0	U+4CD0	䳐
uni4CD1	U+4CD1	䳑
uni4CD2	U+4CD2	䳒
uni4CD3	U+4CD3	䳓
uni4CD4	U+4CD4	䳔
uni4CD5	U+4CD5	䳕
uni4CD6	U+4CD6	䳖
uni4CD7	U+4CD7	䳗
uni4CD8	U+4CD8	䳘
uni4CD9	U+4CD9	䳙
uni4CDA	U+4CDA	䳚
uni4CDB	U+4CDB	䳛
uni4CDC	U+4CDC	䳜
uni4CDD	U+4CDD	䳝
uni4CDE	U+4CDE	䳞
uni4CDF	U+4CDF	䳟
uni4CE0	U+4CE0	䳠
uni4CE1	U+4CE1	䳡
uni4CE2	U+4CE2	䳢
uni4CE3	U+4CE3	䳣
uni4CE4	U+4CE4	䳤
uni4CE5	U+4CE5	䳥
uni4CE6	U+4CE6	䳦
uni4CE7	U+4CE7	䳧
uni4CE8	U+4CE8	䳨
uni4CE9	U+4CE9	䳩
uni4CEA	U+4CEA	䳪
uni4CEB	U+4CEB	䳫
uni4CEC	U+4CEC	䳬
uni4CED	U+4CED	䳭
uni4CEE	U+4CEE	䳮
uni4CEF	U+4CEF	䳯
uni4CF0	U+4CF0	䳰
uni4CF1	U+4CF1	䳱
uni4CF2	U+4CF2	䳲
uni4CF3	U+4CF3	䳳
uni4CF4	U+4CF4	䳴
uni4CF5	U+4CF5	䳵
uni4CF6	U+4CF6	䳶
uni4CF7	U+4CF7	䳷
uni4CF8	U+4CF8	䳸
uni4CF9	U+4CF9	䳹
uni4CFA	U+4CFA	䳺
