uni3A9C	U+3A9C	㪜
uni3C21	U+3C21	㰡
uni3C22	U+3C22	㰢
uni3C23	U+3C23	㰣
uni3C24	U+3C24	㰤
uni3C25	U+3C25	㰥
uni3C26	U+3C26	㰦
uni3C27	U+3C27	㰧
uni3C28	U+3C28	㰨
uni3C29	U+3C29	㰩
uni3C2A	U+3C2A	㰪
uni3C2B	U+3C2B	㰫
uni3C2C	U+3C2C	㰬
uni3C2D	U+3C2D	㰭
uni3C2E	U+3C2E	㰮
uni3C2F	U+3C2F	㰯
uni3C30	U+3C30	㰰
uni3C31	U+3C31	㰱
uni3C32	U+3C32	㰲
uni3C33	U+3C33	㰳
uni3C34	U+3C34	㰴
uni3C35	U+3C35	㰵
uni3C36	U+3C36	㰶
uni3C37	U+3C37	㰷
uni3C38	U+3C38	㰸
uni3C39	U+3C39	㰹
uni3C3A	U+3C3A	㰺
uni3C3B	U+3C3B	㰻
uni3C3C	U+3C3C	㰼
uni3C3D	U+3C3D	㰽
uni3C3E	U+3C3E	㰾
uni3C3F	U+3C3F	㰿
uni3C40	U+3C40	㱀
uni3C41	U+3C41	㱁
uni3C42	U+3C42	㱂
uni3C43	U+3C43	㱃
uni3C44	U+3C44	㱄
uni3C45	U+3C45	㱅
uni3C46	U+3C46	㱆
uni3C47	U+3C47	㱇
uni3C48	U+3C48	㱈
uni3C49	U+3C49	㱉
uni3C4A	U+3C4A	㱊
uni3C4B	U+3C4B	㱋
uni3C4C	U+3C4C	㱌
uni3C4D	U+3C4D	㱍
uni3C4E	U+3C4E	㱎
uni3C4F	U+3C4F	㱏
uni3C50	U+3C50	㱐
uni3C51	U+3C51	㱑
uni3C52	U+3C52	㱒
uni3C53	U+3C53	㱓
uni3C54	U+3C54	㱔
uni3C55	U+3C55	㱕
uni3C56	U+3C56	㱖
uni3C57	U+3C57	㱗
uni3C58	U+3C58	㱘
uni3C59	U+3C59	㱙
uni3C5A	U+3C5A	㱚
uni3C5B	U+3C5B	㱛
uni3C5C	U+3C5C	㱜
uni3C5D	U+3C5D	㱝
uni3C5E	U+3C5E	㱞
uni3C5F	U+3C5F	㱟
uni3C60	U+3C60	㱠
uni3C61	U+3C61	㱡
uni3C62	U+3C62	㱢
uni3C63	U+3C63	㱣
uni3C64	U+3C64	㱤
uni3C65	U+3C65	㱥
uni3C66	U+3C66	㱦
uni3C67	U+3C67	㱧
