uni3A9C	U+3A9C	㪜
uni3E67	U+3E67	㹧
uni3E68	U+3E68	㹨
uni3E69	U+3E69	㹩
uni3E6A	U+3E6A	㹪
uni3E6B	U+3E6B	㹫
uni3E6C	U+3E6C	㹬
uni3E6D	U+3E6D	㹭
uni3E6E	U+3E6E	㹮
uni3E6F	U+3E6F	㹯
uni3E70	U+3E70	㹰
uni3E71	U+3E71	㹱
uni3E72	U+3E72	㹲
uni3E73	U+3E73	㹳
uni3E74	U+3E74	㹴
uni3E75	U+3E75	㹵
uni3E76	U+3E76	㹶
uni3E77	U+3E77	㹷
uni3E78	U+3E78	㹸
uni3E79	U+3E79	㹹
uni3E7A	U+3E7A	㹺
uni3E7B	U+3E7B	㹻
uni3E7C	U+3E7C	㹼
uni3E7D	U+3E7D	㹽
uni3E7E	U+3E7E	㹾
uni3E7F	U+3E7F	㹿
uni3E80	U+3E80	㺀
uni3E81	U+3E81	㺁
uni3E82	U+3E82	㺂
uni3E83	U+3E83	㺃
uni3E84	U+3E84	㺄
uni3E85	U+3E85	㺅
uni3E86	U+3E86	㺆
uni3E87	U+3E87	㺇
uni3E88	U+3E88	㺈
uni3E89	U+3E89	㺉
uni3E8A	U+3E8A	㺊
uni3E8B	U+3E8B	㺋
uni3E8C	U+3E8C	㺌
uni3E8D	U+3E8D	㺍
uni3E8E	U+3E8E	㺎
uni3E8F	U+3E8F	㺏
uni3E90	U+3E90	㺐
uni3E91	U+3E91	㺑
uni3E92	U+3E92	㺒
uni3E93	U+3E93	㺓
uni3E94	U+3E94	㺔
uni3E95	U+3E95	㺕
uni3E96	U+3E96	㺖
uni3E97	U+3E97	㺗
uni3E98	U+3E98	㺘
uni3E99	U+3E99	㺙
uni3E9A	U+3E9A	㺚
uni3E9B	U+3E9B	㺛
