uni3E9C	U+3E9C	㺜
uni3FC1	U+3FC1	㿁
uni3FC2	U+3FC2	㿂
uni3FC3	U+3FC3	㿃
uni3FC4	U+3FC4	㿄
uni3FC5	U+3FC5	㿅
uni3FC6	U+3FC6	㿆
uni3FC7	U+3FC7	㿇
uni3FC8	U+3FC8	㿈
uni3FC9	U+3FC9	㿉
uni3FCA	U+3FCA	㿊
uni3FCB	U+3FCB	㿋
uni3FCC	U+3FCC	㿌
uni3FCD	U+3FCD	㿍
uni3FCE	U+3FCE	㿎
uni3FCF	U+3FCF	㿏
uni3FD0	U+3FD0	㿐
uni3FD1	U+3FD1	㿑
uni3FD2	U+3FD2	㿒
uni3FD3	U+3FD3	㿓
uni3FD4	U+3FD4	㿔
uni3FD5	U+3FD5	㿕
uni3FD6	U+3FD6	㿖
uni3FD7	U+3FD7	㿗
uni3FD8	U+3FD8	㿘
uni3FD9	U+3FD9	㿙
uni3FDA	U+3FDA	㿚
uni3FDB	U+3FDB	㿛
uni3FDC	U+3FDC	㿜
uni3FDD	U+3FDD	㿝
uni3FDE	U+3FDE	㿞
uni3FDF	U+3FDF	㿟
uni3FE0	U+3FE0	㿠
uni3FE1	U+3FE1	㿡
uni3FE2	U+3FE2	㿢
uni3FE3	U+3FE3	㿣
uni3FE4	U+3FE4	㿤
uni3FE5	U+3FE5	㿥
uni3FE6	U+3FE6	㿦
uni3FE7	U+3FE7	㿧
uni3FE8	U+3FE8	㿨
uni3FE9	U+3FE9	㿩
uni3FEA	U+3FEA	㿪
uni3FEB	U+3FEB	㿫
uni3FEC	U+3FEC	㿬
uni3FED	U+3FED	㿭
uni3FEE	U+3FEE	㿮
uni3FEF	U+3FEF	㿯
uni3FF0	U+3FF0	㿰
uni3FF1	U+3FF1	㿱
uni3FF2	U+3FF2	㿲
uni3FF3	U+3FF3	㿳
uni3FF4	U+3FF4	㿴
uni3FF5	U+3FF5	㿵
uni3FF6	U+3FF6	㿶
uni3FF7	U+3FF7	㿷
uni3FF8	U+3FF8	㿸
uni3FF9	U+3FF9	㿹
uni3FFA	U+3FFA	㿺
uni3FFB	U+3FFB	㿻
uni3FFC	U+3FFC	㿼
uni3FFD	U+3FFD	㿽
uni3FFE	U+3FFE	㿾
uni3FFF	U+3FFF	㿿
uni4000	U+4000	䀀
uni4001	U+4001	䀁
uni4002	U+4002	䀂
uni4003	U+4003	䀃
uni4004	U+4004	䀄
uni4005	U+4005	䀅
uni4006	U+4006	䀆
uni4007	U+4007	䀇
uni4008	U+4008	䀈
uni4009	U+4009	䀉
uni400A	U+400A	䀊
uni400B	U+400B	䀋
uni400C	U+400C	䀌
uni400D	U+400D	䀍
uni400E	U+400E	䀎
uni400F	U+400F	䀏
uni4010	U+4010	䀐
uni4011	U+4011	䀑
uni4012	U+4012	䀒
uni4013	U+4013	䀓
uni4014	U+4014	䀔
uni4015	U+4015	䀕
uni4016	U+4016	䀖
uni4017	U+4017	䀗
uni4018	U+4018	䀘
uni4019	U+4019	䀙
uni401A	U+401A	䀚
uni401B	U+401B	䀛
uni401C	U+401C	䀜
uni401D	U+401D	䀝
uni401E	U+401E	䀞
uni401F	U+401F	䀟
uni4020	U+4020	䀠
uni4021	U+4021	䀡
uni4022	U+4022	䀢
uni4023	U+4023	䀣
uni4024	U+4024	䀤
uni4025	U+4025	䀥
uni4026	U+4026	䀦
uni4027	U+4027	䀧
uni4028	U+4028	䀨
uni4029	U+4029	䀩
uni402A	U+402A	䀪
uni402B	U+402B	䀫
uni402C	U+402C	䀬
uni402D	U+402D	䀭
uni402E	U+402E	䀮
uni402F	U+402F	䀯
uni4030	U+4030	䀰
uni4031	U+4031	䀱
uni4032	U+4032	䀲
uni4033	U+4033	䀳
uni4034	U+4034	䀴
uni4035	U+4035	䀵
uni4036	U+4036	䀶
uni4037	U+4037	䀷
uni4038	U+4038	䀸
uni4039	U+4039	䀹
uni403A	U+403A	䀺
uni403B	U+403B	䀻
uni403C	U+403C	䀼
uni403D	U+403D	䀽
uni403E	U+403E	䀾
uni403F	U+403F	䀿
uni4040	U+4040	䁀
uni4041	U+4041	䁁
uni4042	U+4042	䁂
uni4043	U+4043	䁃
uni4044	U+4044	䁄
uni4045	U+4045	䁅
uni4046	U+4046	䁆
uni4047	U+4047	䁇
uni4048	U+4048	䁈
uni4049	U+4049	䁉
uni404A	U+404A	䁊
uni404B	U+404B	䁋
uni404C	U+404C	䁌
uni404D	U+404D	䁍
uni404E	U+404E	䁎
uni404F	U+404F	䁏
uni4050	U+4050	䁐
uni4051	U+4051	䁑
uni4052	U+4052	䁒
uni4053	U+4053	䁓
uni4054	U+4054	䁔
uni4055	U+4055	䁕
uni4056	U+4056	䁖
uni4057	U+4057	䁗
uni4058	U+4058	䁘
uni4059	U+4059	䁙
uni405A	U+405A	䁚
uni405B	U+405B	䁛
uni405C	U+405C	䁜
uni405D	U+405D	䁝
uni405E	U+405E	䁞
uni405F	U+405F	䁟
uni4060	U+4060	䁠
uni4061	U+4061	䁡
uni4062	U+4062	䁢
uni4063	U+4063	䁣
uni4064	U+4064	䁤
uni4065	U+4065	䁥
uni4066	U+4066	䁦
uni4067	U+4067	䁧
uni4068	U+4068	䁨
uni4069	U+4069	䁩
uni406A	U+406A	䁪
uni406B	U+406B	䁫
uni406C	U+406C	䁬
uni406D	U+406D	䁭
uni406E	U+406E	䁮
uni406F	U+406F	䁯
uni4070	U+4070	䁰
uni4071	U+4071	䁱
uni4072	U+4072	䁲
uni4073	U+4073	䁳
uni4074	U+4074	䁴
uni4075	U+4075	䁵
uni4076	U+4076	䁶
uni4077	U+4077	䁷
uni4078	U+4078	䁸
uni4079	U+4079	䁹
uni407A	U+407A	䁺
uni407B	U+407B	䁻
uni407C	U+407C	䁼
uni407D	U+407D	䁽
uni407E	U+407E	䁾
uni407F	U+407F	䁿
uni4080	U+4080	䂀
uni4081	U+4081	䂁
uni4082	U+4082	䂂
uni4083	U+4083	䂃
uni4084	U+4084	䂄
uni4085	U+4085	䂅
uni4086	U+4086	䂆
uni4087	U+4087	䂇
uni4088	U+4088	䂈
uni4089	U+4089	䂉
uni408A	U+408A	䂊
uni408B	U+408B	䂋
uni408C	U+408C	䂌
uni408D	U+408D	䂍
uni408E	U+408E	䂎
uni408F	U+408F	䂏
uni4090	U+4090	䂐
uni4091	U+4091	䂑
uni4092	U+4092	䂒
uni4093	U+4093	䂓
uni4094	U+4094	䂔
uni4095	U+4095	䂕
uni4096	U+4096	䂖
uni4097	U+4097	䂗
uni4098	U+4098	䂘
uni4099	U+4099	䂙
uni409A	U+409A	䂚
uni409B	U+409B	䂛
uni409C	U+409C	䂜
uni409D	U+409D	䂝
uni409E	U+409E	䂞
uni409F	U+409F	䂟
uni40A0	U+40A0	䂠
uni40A1	U+40A1	䂡
uni40A2	U+40A2	䂢
uni40A3	U+40A3	䂣
uni40A4	U+40A4	䂤
uni40A5	U+40A5	䂥
uni40A6	U+40A6	䂦
uni40A7	U+40A7	䂧
uni40A8	U+40A8	䂨
uni40A9	U+40A9	䂩
uni40AA	U+40AA	䂪
uni40AB	U+40AB	䂫
uni40AC	U+40AC	䂬
uni40AD	U+40AD	䂭
uni40AE	U+40AE	䂮
uni40AF	U+40AF	䂯
uni40B0	U+40B0	䂰
uni40B1	U+40B1	䂱
uni40B2	U+40B2	䂲
uni40B3	U+40B3	䂳
uni40B4	U+40B4	䂴
uni40B5	U+40B5	䂵
uni40B6	U+40B6	䂶
uni40B7	U+40B7	䂷
uni40B8	U+40B8	䂸
uni40B9	U+40B9	䂹
uni40BA	U+40BA	䂺
uni40BB	U+40BB	䂻
uni40BC	U+40BC	䂼
uni40BD	U+40BD	䂽
uni40BE	U+40BE	䂾
uni40BF	U+40BF	䂿
uni40C0	U+40C0	䃀
uni40C1	U+40C1	䃁
uni40C2	U+40C2	䃂
uni40C3	U+40C3	䃃
uni40C4	U+40C4	䃄
uni40C5	U+40C5	䃅
uni40C6	U+40C6	䃆
uni40C7	U+40C7	䃇
uni40C8	U+40C8	䃈
uni40C9	U+40C9	䃉
uni40CA	U+40CA	䃊
uni40CB	U+40CB	䃋
uni40CC	U+40CC	䃌
uni40CD	U+40CD	䃍
uni40CE	U+40CE	䃎
uni40CF	U+40CF	䃏
uni40D0	U+40D0	䃐
uni40D1	U+40D1	䃑
uni40D2	U+40D2	䃒
