uni2B765	U+2B765	𫝥
uni2B776	U+2B776	𫝶
uni2B777	U+2B777	𫝷
uni2B77C	U+2B77C	𫝼
uni2B782	U+2B782	𫞂
uni2B789	U+2B789	𫞉
uni2B78B	U+2B78B	𫞋
uni2B78E	U+2B78E	𫞎
uni2B794	U+2B794	𫞔
uni2B7A9	U+2B7A9	𫞩
uni2B7AC	U+2B7AC	𫞬
uni2B7AF	U+2B7AF	𫞯
uni2B7BD	U+2B7BD	𫞽
uni2B7C5	U+2B7C5	𫟅
uni2B7C9	U+2B7C9	𫟉
uni2B7CF	U+2B7CF	𫟏
uni2B7D2	U+2B7D2	𫟒
uni2B7D8	U+2B7D8	𫟘
uni2B7E6	U+2B7E6	𫟦
uni2B7F0	U+2B7F0	𫟰
uni2B7F7	U+2B7F7	𫟷
uni2B7F9	U+2B7F9	𫟹
uni2B7FC	U+2B7FC	𫟼
uni2B806	U+2B806	𫠆
uni2B80A	U+2B80A	𫠊
uni2B80D	U+2B80D	𫠍
uni2B817	U+2B817	𫠗
uni2B81A	U+2B81A	𫠚
uni2B81C	U+2B81C	𫠜
uni2B8B8	U+2B8B8	𫢸
uni2BAC7	U+2BAC7	𫫇
uni2BB5F	U+2BB5F	𫭟
uni2BB62	U+2BB62	𫭢
uni2BB7C	U+2BB7C	𫭼
uni2BB83	U+2BB83	𫮃
uni2BC1B	U+2BC1B	𫰛
uni2BD77	U+2BD77	𫵷
uni2BD87	U+2BD87	𫶇
uni2BDF7	U+2BDF7	𫷷
uni2BE29	U+2BE29	𫸩
uni2C029	U+2C029	𬀩
uni2C02A	U+2C02A	𬀪
uni2C081	U+2C081	𬂁
uni2C0A9	U+2C0A9	𬂩
uni2C0CA	U+2C0CA	𬃊
uni2C115	U+2C115	𬄕
uni2C1D5	U+2C1D5	𬇕
uni2C1D9	U+2C1D9	𬇙
uni2C1F9	U+2C1F9	𬇹
uni2C27C	U+2C27C	𬉼
uni2C288	U+2C288	𬊈
uni2C2A4	U+2C2A4	𬊤
uni2C317	U+2C317	𬌗
uni2C35B	U+2C35B	𬍛
uni2C361	U+2C361	𬍡
uni2C364	U+2C364	𬍤
uni2C386	U+2C386	𬎆
uni2C488	U+2C488	𬒈
uni2C494	U+2C494	𬒔
uni2C497	U+2C497	𬒗
uni2C542	U+2C542	𬕂
uni2C613	U+2C613	𬘓
uni2C618	U+2C618	𬘘
uni2C621	U+2C621	𬘡
uni2C629	U+2C629	𬘩
uni2C62B	U+2C62B	𬘫
uni2C62C	U+2C62C	𬘬
uni2C62D	U+2C62D	𬘭
uni2C62F	U+2C62F	𬘯
uni2C642	U+2C642	𬙂
uni2C64A	U+2C64A	𬙊
uni2C64B	U+2C64B	𬙋
uni2C72C	U+2C72C	𬜬
uni2C72F	U+2C72F	𬜯
uni2C79F	U+2C79F	𬞟
uni2C7C1	U+2C7C1	𬟁
uni2C7D3	U+2C7D3	𬟓
uni2C7FD	U+2C7FD	𬟽
uni2C8D9	U+2C8D9	𬣙
uni2C8DE	U+2C8DE	𬣞
uni2C8E1	U+2C8E1	𬣡
uni2C8F3	U+2C8F3	𬣳
uni2C907	U+2C907	𬤇
uni2C90A	U+2C90A	𬤊
uni2C91D	U+2C91D	𬤝
uni2CA02	U+2CA02	𬨂
uni2CA0E	U+2CA0E	𬨎
uni2CA7D	U+2CA7D	𬩽
uni2CAA9	U+2CAA9	𬪩
uni2CB29	U+2CB29	𬬩
uni2CB2D	U+2CB2D	𬬭
uni2CB2E	U+2CB2E	𬬮
uni2CB31	U+2CB31	𬬱
uni2CB38	U+2CB38	𬬸
uni2CB39	U+2CB39	𬬹
uni2CB3B	U+2CB3B	𬬻
uni2CB3F	U+2CB3F	𬬿
uni2CB41	U+2CB41	𬭁
uni2CB4A	U+2CB4A	𬭊
uni2CB4E	U+2CB4E	𬭎
uni2CB5A	U+2CB5A	𬭚
uni2CB5B	U+2CB5B	𬭛
uni2CB64	U+2CB64	𬭤
uni2CB69	U+2CB69	𬭩
uni2CB6C	U+2CB6C	𬭬
