U+2CB31	𬬱
U+2CB2D	𬬭
U+94AA	钪
U+94AC	钬
U+94AD	钭
U+77E7	矧
U+79EC	秬
U+4FEB	俫
U+8201	舁
U+4FDC	俜
U+4FD9	俙
U+4FCD	俍
U+5795	垕
U+884E	衎
U+8223	舣
U+5F07	弇
U+4FB4	侴
U+9E27	鸧
U+43E1	䏡
U+80E0	胠
U+26676	𦙶
U+80C8	胈
U+80E9	胩
U+80E3	胣
U+670F	朏
U+98D0	飐
U+8A04	訄
U+997B	饻
U+5EA4	庤
U+75A2	疢
U+70A3	炣
U+709F	炟
U+3DB2	㶲
U+6D2D	洭
U+6D18	洘
U+6D13	洓
U+6D3F	洿
U+3CDA	㳚
U+6CDA	泚
U+6D48	浈
U+6D49	浉
U+6D38	洸
U+6D11	洑
U+6D22	洢
U+6D08	洈
U+6D1A	洚
U+6D3A	洺
U+6D28	洨
U+6D50	浐
U+3CD8	㳘
U+6D34	洴
U+6D23	洣
U+6054	恔
U+5BAC	宬
U+7A80	窀
U+6242	扂
U+8886	袆
U+794F	祏
U+7950	祐
U+7955	祕
U+53DA	叚
U+9667	陧
U+965E	陞
U+5A00	娀
U+59DE	姞
U+59F1	姱
U+59E4	姤
U+59F6	姶
U+59FD	姽
U+67B2	枲
U+7ED6	绖
U+9A83	骃
U+2C621	𬘡
U+2CCFD	𬳽
U+2C629	𬘩
U+2B127	𫄧
U+5F56	彖
U+9A89	骉
U+605D	恝
U+73EA	珪
U+73DB	珛
U+73F9	珹
U+740A	琊
U+73BC	玼
U+73D6	珖
U+2A7DD	𪟝
U+73FD	珽
U+73E6	珦
U+73EB	珫
U+73D2	珒
U+2C364	𬍤
U+73E2	珢
U+73D5	珕
U+73DD	珝
U+2BB7C	𫭼
U+57D7	埗
U+57BE	垾
U+57BA	垺
U+57C6	埆
U+57BF	垿
U+57CC	埌
U+57C7	埇
U+83B0	莰
U+831D	茝
U+2C72F	𬜯
U+9100	鄀
U+83B6	莶
U+839D	莝
U+44D6	䓖
U+8399	莙
U+683B	栻
U+6860	桠
U+2C0A9	𬂩
U+6844	桄
U+68A0	梠
U+6834	栴
U+68B4	梴
U+6812	栒
U+914E	酎
U+914F	酏
U+2B806	𫠆
U+7835	砵
U+7820	砠
U+782B	砫
U+782C	砬
U+7841	硁
U+6067	恧
U+7FC3	翃
U+90EA	郪
U+28408	𨐈
U+8F80	辀
U+8F81	辁
U+2C317	𬌗
U+5255	剕
U+8D40	赀
U+54E2	哢
U+6645	晅
U+664A	晊
U+551D	唝
U+54F3	哳
U+54F1	哱
U+5194	冔
U+6654	晔
U+6650	晐
U+6656	晖
U+7556	畖
U+8684	蚄
U+8686	蚆
U+2B461	𫑡
U+5E31	帱
U+5D01	崁
U+5CFF	峿
U+2AA36	𪨶
U+5D04	崄
U+5E28	帨
U+5D00	崀
U+8D46	赆
U+2CB38	𬬸
U+94B7	钷
U+2CB3B	𬬻
U+2CB39	𬬹
U+2CB3F	𬬿
U+2CB41	𬭁
U+771A	眚
U+7521	甡
U+7B2B	笫
U+503B	倻
U+5034	倴
U+8129	脩
U+502E	倮
U+5015	倕
U+501E	倞
U+2B8B8	𫢸
U+5013	倓
U+5027	倧
U+8843	衃
U+8652	虒
U+822D	舭
U+822F	舯
U+8225	舥
U+74DE	瓞
U+9B2F	鬯
U+9E30	鸰
U+810E	脎
U+6713	朓
U+80F2	胲
U+8653	虓
U+9C7D	鱽
U+72F4	狴
U+5CF1	峱
U+72FB	狻
U+7722	眢
U+2B5E7	𫗧
U+52CD	勍
U+75C4	痄
U+75B0	疰
U+75C3	痃
U+7AD8	竘
U+7F96	羖
U+7F93	羓
U+684A	桊
U+6549	敉
U+70E0	烠
U+70D4	烔
U+70F6	烶
U+70FB	烻
U+2C288	𬊈
U+6D8D	涍
U+6D61	浡
U+6D6D	浭
U+6D6C	浬
U+6D84	涄
U+6DA2	涢
U+6D90	涐
U+6D70	浰
U+6D5F	浟
U+6D5B	浛
U+6D7C	浼
U+6D72	浲
U+6D98	涘
U+6088	悈
U+6083	悃
U+60A2	悢
U+2C488	𬒈
U+5BA7	宧
U+7A85	窅
U+7A8A	窊
U+7A8E	窎
U+6245	扅
U+6246	扆
U+88AA	袪
U+8897	袗
U+88AF	袯
U+7967	祧
U+96BA	隺
U+5832	堲
U+758D	疍
U+28E99	𨺙
U+9674	陴
U+70DD	烝
U+782E	砮
U+36DA	㛚
U+54FF	哿
U+7FC0	翀
U+7FC2	翂
U+525F	剟
U+2CCFF	𬳿
U+2B128	𫄨
U+7EE4	绤
U+9A8D	骍
U+2C62B	𬘫
U+40AE	䂮
U+740E	琎
U+73F8	珸
U+73F5	珵
U+7404	琄
U+7408	琈
U+7400	琀
U+73FA	珺
U+63AD	掭
U+580E	堎
U+5810	堐
U+57FC	埼
U+638E	掎
U+57EB	埫
U+580C	堌
U+6662	晢
U+2BB83	𫮃
U+639E	掞
U+57EA	埪
U+58F8	壸
U+364D	㙍
U+804D	聍
U+83DD	菝
U+841A	萚
U+83E5	菥
U+83BF	莿
U+44EB	䓫
U+52DA	勚
U+44EC	䓬
U+8406	萆
U+83C2	菂
U+83CD	菍
U+83FC	菼
U+8423	萣
U+44E8	䓨
U+83C9	菉
U+44DB	䓛
U+68BC	梼
U+68BD	梽
U+6872	桲
U+68BE	梾
U+686F	桯
U+68A3	梣
U+688C	梌
U+6879	桹
U+6554	敔
U+53A3	厣
U+7854	硔
U+9FCE	鿎
U+7859	硙
U+785A	硚
U+784A	硊
U+784D	硍
U+52D4	勔
U+4D15	䴕
U+9F81	龁
U+9034	逴
U+552A	唪
U+556B	啫
U+7FC8	翈
U+3AF0	㫰
U+6659	晙
U+7564	畤
U+2CC56	𬱖
U+8DBC	趼
U+8DC2	跂
U+86C3	蛃
U+86B2	蚲
U+2C7FD	𬟽
U+86BA	蚺
U+5574	啴
U+4383	䎃
U+5D27	崧
U+5D1F	崟
U+5D1E	崞
U+5D12	崒
U+5D0C	崌
U+5D21	崡
U+94CF	铏
U+2B4EF	𫓯
U+2B7F9	𫟹
U+94D5	铕
U+2B7FC	𫟼
U+94D6	铖
U+94D8	铘
U+94DA	铚
U+94DE	铞
U+94E5	铥
U+94F4	铴
U+727B	牻
U+727F	牿
U+7A06	稆
U+7B31	笱
U+7B2F	笯
U+5070	偰
U+5061	偡
U+9E3A	鸺
U+506D	偭
U+5072	偲
U+5041	偁
U+3FE0	㿠
U+9105	鄅
U+5053	偓
U+5F9B	徛
U+8852	衒
U+8233	舳
U+8232	舲
U+9E3C	鸼
U+6086	悆
