uni8875	U+8875	衵
uni8876	U+8876	衶
uni8877	U+8877	衷
uni8878	U+8878	衸
uni8879	U+8879	衹
uni887A	U+887A	衺
uni887B	U+887B	衻
uni887C	U+887C	衼
uni887D	U+887D	衽
uni887E	U+887E	衾
uni887F	U+887F	衿
uni8880	U+8880	袀
uni8881	U+8881	袁
uni8882	U+8882	袂
uni8883	U+8883	袃
uni8884	U+8884	袄
uni8885	U+8885	袅
uni8886	U+8886	袆
uni8887	U+8887	袇
uni8888	U+8888	袈
uni8889	U+8889	袉
uni888A	U+888A	袊
uni888B	U+888B	袋
uni888C	U+888C	袌
uni888D	U+888D	袍
uni888E	U+888E	袎
uni888F	U+888F	袏
uni8890	U+8890	袐
uni8891	U+8891	袑
uni8892	U+8892	袒
uni8893	U+8893	袓
uni8894	U+8894	袔
uni8895	U+8895	袕
uni8896	U+8896	袖
uni8897	U+8897	袗
uni8898	U+8898	袘
uni8899	U+8899	袙
uni889A	U+889A	袚
uni889B	U+889B	袛
uni889C	U+889C	袜
uni889D	U+889D	袝
uni889E	U+889E	袞
uni889F	U+889F	袟
uni88A0	U+88A0	袠
uni88A1	U+88A1	袡
uni88A2	U+88A2	袢
uni88A3	U+88A3	袣
uni88A4	U+88A4	袤
uni88A5	U+88A5	袥
uni88A6	U+88A6	袦
uni88A7	U+88A7	袧
uni88A8	U+88A8	袨
uni88A9	U+88A9	袩
uni88AA	U+88AA	袪
uni88AB	U+88AB	被
uni88AC	U+88AC	袬
uni88AD	U+88AD	袭
uni88AE	U+88AE	袮
uni88AF	U+88AF	袯
uni88B0	U+88B0	袰
uni88B1	U+88B1	袱
uni88B2	U+88B2	袲
uni88B3	U+88B3	袳
uni88B4	U+88B4	袴
uni88B5	U+88B5	袵
uni88B6	U+88B6	袶
uni88B7	U+88B7	袷
uni88B8	U+88B8	袸
uni88B9	U+88B9	袹
uni88BA	U+88BA	袺
uni88BB	U+88BB	袻
uni88BC	U+88BC	袼
uni88BD	U+88BD	袽
uni88BE	U+88BE	袾
uni88BF	U+88BF	袿
uni88C0	U+88C0	裀
uni88C1	U+88C1	裁
uni88C2	U+88C2	裂
uni88C3	U+88C3	裃
uni88C4	U+88C4	裄
uni88C5	U+88C5	装
uni88C6	U+88C6	裆
uni88C7	U+88C7	裇
uni88C8	U+88C8	裈
uni88C9	U+88C9	裉
uni88CA	U+88CA	裊
uni88CB	U+88CB	裋
uni88CC	U+88CC	裌
uni88CD	U+88CD	裍
uni88CE	U+88CE	裎
uni88CF	U+88CF	裏
uni88D0	U+88D0	裐
uni88D1	U+88D1	裑
uni88D2	U+88D2	裒
uni88D3	U+88D3	裓
uni88D4	U+88D4	裔
uni88D5	U+88D5	裕
uni88D6	U+88D6	裖
uni88D7	U+88D7	裗
uni88D8	U+88D8	裘
uni88D9	U+88D9	裙
uni88DA	U+88DA	裚
uni88DB	U+88DB	裛
uni88DC	U+88DC	補
uni88DD	U+88DD	裝
uni88DE	U+88DE	裞
uni88DF	U+88DF	裟
uni88E0	U+88E0	裠
uni88E1	U+88E1	裡
uni88E2	U+88E2	裢
uni88E3	U+88E3	裣
uni88E4	U+88E4	裤
uni88E5	U+88E5	裥
uni88E6	U+88E6	裦
uni88E7	U+88E7	裧
uni88E8	U+88E8	裨
uni88E9	U+88E9	裩
uni88EA	U+88EA	裪
uni88EB	U+88EB	裫
uni88EC	U+88EC	裬
uni88ED	U+88ED	裭
uni88EE	U+88EE	裮
uni88EF	U+88EF	裯
uni88F0	U+88F0	裰
uni88F1	U+88F1	裱
uni88F2	U+88F2	裲
uni88F3	U+88F3	裳
uni88F4	U+88F4	裴
uni88F5	U+88F5	裵
uni88F6	U+88F6	裶
uni88F7	U+88F7	裷
uni88F8	U+88F8	裸
uni88F9	U+88F9	裹
uni88FA	U+88FA	裺
uni88FB	U+88FB	裻
uni88FC	U+88FC	裼
uni88FD	U+88FD	製
uni88FE	U+88FE	裾
uni88FF	U+88FF	裿
uni8900	U+8900	褀
uni8901	U+8901	褁
uni8902	U+8902	褂
uni8903	U+8903	褃
uni8904	U+8904	褄
uni8905	U+8905	褅
uni8906	U+8906	褆
uni8907	U+8907	複
uni8908	U+8908	褈
uni8909	U+8909	褉
uni890A	U+890A	褊
uni890B	U+890B	褋
uni890C	U+890C	褌
