glyph62109	uni51B4	冴
glyph62111	uni51CB	凋
glyph62112	uni51DB	凛
glyph62119	uni5206	分
glyph62127	uni5275	創
glyph62138	uni5340	區
glyph62144	glyph61902	
glyph62146	glyph61902	
glyph62149	uni53CE	収
glyph62152	uni53F1	叱
glyph62153	uni53F2	史
glyph62154	uni540F	吏
glyph62160	uni5533	唳
glyph62162	uni5539	唹
glyph62163	uni5544	啄
glyph62169	uni55A9	喩
glyph62172	uni55E4	嗤
glyph62176	uni5674	噴
glyph62177	uni5678	噸
glyph62178	uni56A5	嚥
glyph62182	uni56C1	囁
glyph62185	uni570D	圍
glyph62186	uni5747	均
glyph62190	uni57F4	埴
glyph62192	uni580B	堋
glyph62195	uni5858	塘
glyph62199	uni58AB	墫
glyph62210	uni59C9	姉
glyph62211	uni59DA	姚
glyph62215	uni5A36	娶
glyph62217	uni5A9B	媛
glyph62218	uni5ABE	媾
glyph62219	uni5ABE	媾
glyph62221	uni5ACC	嫌
glyph62226	uni5BB3	害
glyph62240	uni5D4E	嵎
glyph62241	uni5D87	嶇
glyph62242	uni5DC9	巉
glyph62243	uni5DCC	巌
glyph62244	uni5DD3	巓
glyph62250	uni5E30	帰
glyph62255	uni5E64	幤
glyph62258	uni5EAD	庭
glyph62263	uni5EE0	廠
glyph62266	uni5EF6	延
glyph62268	uni5EF7	廷
glyph62269	uni5EFA	建
glyph62271	uni5F2D	弭
glyph62286	glyph61924	
glyph62287	uni6065	恥
glyph62288	uni6097	悗
glyph62291	uni60B2	悲
glyph62293	uni60D8	惘
glyph62296	uni613D	愽
glyph62300	uni6167	慧
glyph62302	uni6168	慨
glyph62307	uni61A4	憤
glyph62311	uni61FE	懾
glyph62316	uni6248	扈
glyph62317	uni6249	扉
glyph62318	uni6249	扉
glyph62319	uni6268	扨
glyph62323	uni62CF	拏
glyph62324	uni62D0	拐
glyph62327	uni62F7	拷
glyph62328	uni634C	捌
glyph62329	uni6367	捧
glyph62331	uni6369	捩
glyph62332	uni636E	据
glyph62335	uni6392	排
glyph62340	uni6406	搆
glyph62341	uni640F	搏
glyph62344	uni6442	摂
glyph62346	uni64F2	擲
glyph62348	uni651D	攝
glyph62349	uni655D	敝
glyph62351	uni6562	敢
glyph62353	uni6583	斃
glyph62357	uni6590	斐
glyph62364	uni665F	晟
glyph62376	uni66D9	曙
glyph62378	uni66F4	更
glyph62397	uni677E	松
glyph62398	uni67A6	枦
glyph62399	uni67A9	枩
glyph62401	uni67CA	柊
glyph62402	uni67D4	柔
glyph62403	uni67E7	柧
glyph62407	uni6813	栓
glyph62408	uni6821	校
glyph62409	uni6843	桃
glyph62410	uni685D	桝
glyph62414	uni689B	梛
glyph62416	uni68A2	梢
glyph62418	uni68DA	棚
glyph62419	uni690D	植
glyph62421	uni6930	椰
glyph62424	uni696B	楫
glyph62425	uni6982	概
glyph62426	uni6982	概
glyph62428	uni69A7	榧
glyph62434	uni6A44	橄
glyph62438	uni6A8E	檎
glyph62439	uni6A90	檐
glyph62442	uni6B1D	欝
glyph62447	uni6BBB	殻
glyph62449	uni6C08	氈
glyph62450	uni6C13	氓
glyph62454	uni6CBF	沿
glyph62455	uni6CE1	泡
glyph62457	uni6D3E	派
glyph62466	uni6E23	渣
glyph62468	uni6E6E	湮
glyph62470	uni6E7E	湾
glyph62471	uni6E9D	溝
glyph62472	glyph61954	
glyph62477	uni6EFE	滾
glyph62478	uni6F11	漑
glyph62480	uni6F3E	漾
glyph62488	uni6FEF	濯
glyph62496	glyph61966	
glyph62497	uni7194	熔
glyph62500	uni71FF	燿
glyph62502	uni2F57	⽗
glyph62508	glyph61971	
glyph62511	uni73CE	珎
glyph62512	uni73E5	珥
glyph62513	uni73ED	班
glyph62514	uni7432	琲
glyph62515	uni745F	瑟
glyph62522	uni74E0	瓠
glyph62524	uni7504	甄
glyph62525	uni750C	甌
glyph62526	uni750D	甍
glyph62527	glyph61972	
glyph62529	glyph61973	
glyph62534	uni75E9	痩
glyph62535	uni7652	癒
glyph62538	uni7672	癲
glyph62540	uni7693	皓
glyph62541	uni76C6	盆
glyph62548	uni773A	眺
glyph62552	uni77AC	瞬
glyph62557	uni786C	硬
glyph62558	uni787C	硼
glyph62559	uni78D4	磔
glyph62562	uni792A	礪
glyph62571	uni79BA	禺
glyph62573	uni7A19	稙
glyph62574	uni7A31	稱
glyph62576	uni2F73	⽳
glyph62579	uni7A95	窕
glyph62581	uni7AAE	窮
glyph62586	uni7B99	箙
glyph62598	glyph61991	
glyph62599	uni7C89	粉
glyph62600	uni7C90	粐
glyph62601	uni7CAE	粮
glyph62602	uni7CF2	糲
glyph62608	uni7D1B	紛
glyph62612	uni7D5E	絞
glyph62613	uni7D73	絳
glyph62614	uni7D9B	綛
glyph62615	uni7D9F	綟
glyph62616	uni7DAE	綮
glyph62619	uni7DCB	緋
glyph62620	uni7DCF	総
glyph62621	uni7DDD	緝
glyph62624	uni7DEF	緯
glyph62629	uni7E35	縵
glyph62636	uni7F6A	罪
glyph62641	uni7FAE	羮
glyph62642	uni7FC1	翁
glyph62648	uni7FD4	翔
glyph62649	uni7FE0	翠
glyph62650	uni7FE1	翡
glyph62655	uni7FFC	翼
glyph62657	uni8000	耀
glyph62658	uni8003	考
glyph62662	uni8036	耶
glyph62664	uni805A	聚
glyph62665	uni805F	聟
glyph62666	uni8061	聡
glyph62667	uni806F	聯
glyph62668	uni8070	聰
glyph62670	uni8073	聳
glyph62671	uni8074	聴
glyph62672	uni8076	聶
glyph62673	uni8077	職
glyph62674	uni807E	聾
glyph62684	uni8108	脈
glyph62688	uni8153	腓
glyph62691	uni818A	膊
glyph62692	uni81B5	膵
glyph62693	uni81CD	臍
glyph62697	uni821C	舜
glyph62699	uni822E	舮
glyph62700	uni8239	船
glyph62703	uni8247	艇
glyph62704	uni828D	芍
glyph62706	uni82BD	芽
glyph62708	uni82D2	苒
glyph62710	uni8323	茣
glyph62712	uni8375	荵
glyph62718	uni83DF	菟
glyph62720	uni83F2	菲
glyph62726	uni847A	葺
glyph62729	uni8517	蔗
glyph62730	glyph62004	
glyph62733	uni8555	蕕
glyph62739	uni85D5	藕
glyph62746	uni86DB	蛛
glyph62747	uni871A	蜚
glyph62751	uni8782	螂
glyph62754	uni87D2	蟒
glyph62759	uni8836	蠶
glyph62765	uni885B	衛
glyph62768	uni889E	袞
glyph62769	uni88D8	裘
glyph62770	uni88F4	裴
glyph62771	uni890A	褊
glyph62773	uni892B	褫
glyph62774	uni893B	褻
