uni847C	U+847C	葼
uni847D	U+847D	葽
uni847E	U+847E	葾
uni847F	U+847F	葿
uni8480	U+8480	蒀
uni8481	U+8481	蒁
uni8482	U+8482	蒂
uni8483	U+8483	蒃
uni8484	U+8484	蒄
uni8485	U+8485	蒅
uni8486	U+8486	蒆
uni8487	U+8487	蒇
uni8488	U+8488	蒈
uni8489	U+8489	蒉
uni848A	U+848A	蒊
uni848B	U+848B	蒋
uni848C	U+848C	蒌
uni848D	U+848D	蒍
uni848E	U+848E	蒎
uni848F	U+848F	蒏
uni8490	U+8490	蒐
uni8491	U+8491	蒑
uni8492	U+8492	蒒
uni8493	U+8493	蒓
uni8494	U+8494	蒔
uni8495	U+8495	蒕
uni8496	U+8496	蒖
uni8497	U+8497	蒗
uni8498	U+8498	蒘
uni8499	U+8499	蒙
uni849A	U+849A	蒚
uni849B	U+849B	蒛
uni849C	U+849C	蒜
uni849D	U+849D	蒝
uni849E	U+849E	蒞
uni849F	U+849F	蒟
uni84A0	U+84A0	蒠
uni84A1	U+84A1	蒡
uni84A2	U+84A2	蒢
uni84A3	U+84A3	蒣
uni84A4	U+84A4	蒤
uni84A5	U+84A5	蒥
uni84A6	U+84A6	蒦
uni84A7	U+84A7	蒧
uni84A8	U+84A8	蒨
uni84A9	U+84A9	蒩
uni84AA	U+84AA	蒪
uni84AB	U+84AB	蒫
uni84AC	U+84AC	蒬
uni84AD	U+84AD	蒭
uni84AE	U+84AE	蒮
uni84AF	U+84AF	蒯
uni84B0	U+84B0	蒰
uni84B1	U+84B1	蒱
uni84B2	U+84B2	蒲
uni84B3	U+84B3	蒳
uni84B4	U+84B4	蒴
uni84B5	U+84B5	蒵
uni84B6	U+84B6	蒶
uni84B7	U+84B7	蒷
uni84B8	U+84B8	蒸
uni84B9	U+84B9	蒹
uni84BA	U+84BA	蒺
uni84BB	U+84BB	蒻
uni84BC	U+84BC	蒼
uni84BD	U+84BD	蒽
uni84BE	U+84BE	蒾
uni84BF	U+84BF	蒿
uni84C0	U+84C0	蓀
uni84C1	U+84C1	蓁
uni84C2	U+84C2	蓂
uni84C3	U+84C3	蓃
uni84C4	U+84C4	蓄
uni84C5	U+84C5	蓅
uni84C6	U+84C6	蓆
uni84C7	U+84C7	蓇
uni84C8	U+84C8	蓈
uni84C9	U+84C9	蓉
uni84CA	U+84CA	蓊
uni84CB	U+84CB	蓋
uni84CC	U+84CC	蓌
uni84CD	U+84CD	蓍
uni84CE	U+84CE	蓎
uni84CF	U+84CF	蓏
uni84D0	U+84D0	蓐
uni84D1	U+84D1	蓑
uni84D2	U+84D2	蓒
uni84D3	U+84D3	蓓
uni84D4	U+84D4	蓔
uni84D5	U+84D5	蓕
uni84D6	U+84D6	蓖
uni84D7	U+84D7	蓗
uni84D8	U+84D8	蓘
uni84D9	U+84D9	蓙
uni84DA	U+84DA	蓚
uni84DB	U+84DB	蓛
uni84DC	U+84DC	蓜
uni84DD	U+84DD	蓝
uni84DE	U+84DE	蓞
uni84DF	U+84DF	蓟
uni84E0	U+84E0	蓠
uni84E1	U+84E1	蓡
uni84E2	U+84E2	蓢
uni84E3	U+84E3	蓣
uni84E4	U+84E4	蓤
