uni931F	U+931F	錟
uni9320	U+9320	錠
uni9321	U+9321	錡
uni9322	U+9322	錢
uni9323	U+9323	錣
uni9324	U+9324	錤
uni9325	U+9325	錥
uni9326	U+9326	錦
uni9327	U+9327	錧
uni9328	U+9328	錨
uni9329	U+9329	錩
uni932A	U+932A	錪
uni932B	U+932B	錫
uni932C	U+932C	錬
uni932D	U+932D	錭
uni932E	U+932E	錮
uni932F	U+932F	錯
uni9330	U+9330	錰
uni9331	U+9331	錱
uni9332	U+9332	録
uni9333	U+9333	錳
uni9334	U+9334	錴
uni9335	U+9335	錵
uni9336	U+9336	錶
uni9337	U+9337	錷
uni9338	U+9338	錸
uni9339	U+9339	錹
uni933A	U+933A	錺
uni933B	U+933B	錻
uni933C	U+933C	錼
uni933D	U+933D	錽
uni933E	U+933E	錾
uni933F	U+933F	錿
uni9340	U+9340	鍀
uni9341	U+9341	鍁
uni9342	U+9342	鍂
uni9343	U+9343	鍃
uni9344	U+9344	鍄
uni9345	U+9345	鍅
uni9346	U+9346	鍆
uni9347	U+9347	鍇
uni9348	U+9348	鍈
uni9349	U+9349	鍉
uni934A	U+934A	鍊
uni934B	U+934B	鍋
uni934C	U+934C	鍌
uni934D	U+934D	鍍
uni934E	U+934E	鍎
uni934F	U+934F	鍏
uni9350	U+9350	鍐
uni9351	U+9351	鍑
uni9352	U+9352	鍒
uni9353	U+9353	鍓
uni9354	U+9354	鍔
uni9355	U+9355	鍕
uni9356	U+9356	鍖
uni9357	U+9357	鍗
uni9358	U+9358	鍘
uni9359	U+9359	鍙
uni935A	U+935A	鍚
uni935B	U+935B	鍛
uni935C	U+935C	鍜
uni935D	U+935D	鍝
uni935E	U+935E	鍞
uni935F	U+935F	鍟
uni9360	U+9360	鍠
uni9361	U+9361	鍡
uni9362	U+9362	鍢
uni9363	U+9363	鍣
uni9364	U+9364	鍤
uni9365	U+9365	鍥
uni9366	U+9366	鍦
uni9367	U+9367	鍧
uni9368	U+9368	鍨
uni9369	U+9369	鍩
uni936A	U+936A	鍪
uni936B	U+936B	鍫
uni936C	U+936C	鍬
uni936D	U+936D	鍭
uni936E	U+936E	鍮
uni936F	U+936F	鍯
uni9370	U+9370	鍰
uni9371	U+9371	鍱
uni9372	U+9372	鍲
uni9373	U+9373	鍳
uni9374	U+9374	鍴
uni9375	U+9375	鍵
uni9376	U+9376	鍶
uni9377	U+9377	鍷
uni9378	U+9378	鍸
uni9379	U+9379	鍹
uni937A	U+937A	鍺
uni937B	U+937B	鍻
uni937C	U+937C	鍼
uni937D	U+937D	鍽
uni937E	U+937E	鍾
uni937F	U+937F	鍿
uni9380	U+9380	鎀
uni9381	U+9381	鎁
uni9382	U+9382	鎂
uni9383	U+9383	鎃
uni9384	U+9384	鎄
uni9385	U+9385	鎅
uni9386	U+9386	鎆
uni9387	U+9387	鎇
uni9388	U+9388	鎈
uni9389	U+9389	鎉
uni938A	U+938A	鎊
uni938B	U+938B	鎋
uni938C	U+938C	鎌
uni938D	U+938D	鎍
uni938E	U+938E	鎎
uni938F	U+938F	鎏
uni9390	U+9390	鎐
uni9391	U+9391	鎑
uni9392	U+9392	鎒
uni9393	U+9393	鎓
uni9394	U+9394	鎔
uni9395	U+9395	鎕
uni9396	U+9396	鎖
uni9397	U+9397	鎗
uni9398	U+9398	鎘
uni9399	U+9399	鎙
uni939A	U+939A	鎚
uni939B	U+939B	鎛
uni939C	U+939C	鎜
uni939D	U+939D	鎝
uni939E	U+939E	鎞
uni939F	U+939F	鎟
uni93A0	U+93A0	鎠
uni93A1	U+93A1	鎡
uni93A2	U+93A2	鎢
uni93A3	U+93A3	鎣
uni93A4	U+93A4	鎤
uni93A5	U+93A5	鎥
uni93A6	U+93A6	鎦
uni93A7	U+93A7	鎧
uni93A8	U+93A8	鎨
uni93A9	U+93A9	鎩
uni93AA	U+93AA	鎪
uni93AB	U+93AB	鎫
uni93AC	U+93AC	鎬
uni93AD	U+93AD	鎭
uni93AE	U+93AE	鎮
uni93AF	U+93AF	鎯
uni93B0	U+93B0	鎰
uni93B1	U+93B1	鎱
uni93B2	U+93B2	鎲
uni93B3	U+93B3	鎳
uni93B4	U+93B4	鎴
uni93B5	U+93B5	鎵
uni93B6	U+93B6	鎶
uni93B7	U+93B7	鎷
