uni82C6	U+82C6	苆
uni82C7	U+82C7	苇
uni82C8	U+82C8	苈
uni82C9	U+82C9	苉
uni82CA	U+82CA	苊
uni82CB	U+82CB	苋
uni82CC	U+82CC	苌
uni82CD	U+82CD	苍
uni82CE	U+82CE	苎
uni82CF	U+82CF	苏
uni82D0	U+82D0	苐
uni82D1	U+82D1	苑
uni82D2	U+82D2	苒
uni82D3	U+82D3	苓
uni82D4	U+82D4	苔
uni82D5	U+82D5	苕
uni82D6	U+82D6	苖
uni82D7	U+82D7	苗
uni82D8	U+82D8	苘
uni82D9	U+82D9	苙
uni82DA	U+82DA	苚
uni82DB	U+82DB	苛
uni82DC	U+82DC	苜
uni82DD	U+82DD	苝
uni82DE	U+82DE	苞
uni82DF	U+82DF	苟
uni82E0	U+82E0	苠
uni82E1	U+82E1	苡
uni82E2	U+82E2	苢
uni82E3	U+82E3	苣
uni82E4	U+82E4	苤
uni82E5	U+82E5	若
uni82E6	U+82E6	苦
uni82E7	U+82E7	苧
uni82E8	U+82E8	苨
uni82E9	U+82E9	苩
uni82EA	U+82EA	苪
uni82EB	U+82EB	苫
uni82EC	U+82EC	苬
uni82ED	U+82ED	苭
uni82EE	U+82EE	苮
uni82EF	U+82EF	苯
uni82F0	U+82F0	苰
uni82F1	U+82F1	英
uni82F2	U+82F2	苲
uni82F3	U+82F3	苳
uni82F4	U+82F4	苴
uni82F5	U+82F5	苵
uni82F6	U+82F6	苶
uni82F7	U+82F7	苷
uni82F8	U+82F8	苸
uni82F9	U+82F9	苹
uni82FA	U+82FA	苺
uni82FB	U+82FB	苻
uni82FC	U+82FC	苼
uni82FD	U+82FD	苽
uni82FE	U+82FE	苾
uni82FF	U+82FF	苿
uni8300	U+8300	茀
uni8301	U+8301	茁
uni8302	U+8302	茂
uni8303	U+8303	范
uni8304	U+8304	茄
uni8305	U+8305	茅
uni8306	U+8306	茆
uni8307	U+8307	茇
uni8308	U+8308	茈
uni8309	U+8309	茉
uni830A	U+830A	茊
uni830B	U+830B	茋
uni830C	U+830C	茌
uni830D	U+830D	茍
uni830E	U+830E	茎
uni830F	U+830F	茏
uni8310	U+8310	茐
uni8311	U+8311	茑
uni8312	U+8312	茒
uni8313	U+8313	茓
uni8314	U+8314	茔
uni8315	U+8315	茕
uni8316	U+8316	茖
uni8317	U+8317	茗
uni8318	U+8318	茘
uni8319	U+8319	茙
uni831A	U+831A	茚
uni831B	U+831B	茛
uni831C	U+831C	茜
uni831D	U+831D	茝
uni831E	U+831E	茞
uni831F	U+831F	茟
uni8320	U+8320	茠
uni8321	U+8321	茡
uni8322	U+8322	茢
uni8323	U+8323	茣
uni8324	U+8324	茤
uni8325	U+8325	茥
uni8326	U+8326	茦
uni8327	U+8327	茧
uni8328	U+8328	茨
uni8329	U+8329	茩
uni832A	U+832A	茪
uni832B	U+832B	茫
uni832C	U+832C	茬
uni832D	U+832D	茭
uni832E	U+832E	茮
uni832F	U+832F	茯
uni8330	U+8330	茰
uni8331	U+8331	茱
uni8332	U+8332	茲
uni8333	U+8333	茳
uni8334	U+8334	茴
uni8335	U+8335	茵
uni8336	U+8336	茶
uni8337	U+8337	茷
uni8338	U+8338	茸
uni8339	U+8339	茹
uni833A	U+833A	茺
uni833B	U+833B	茻
uni833C	U+833C	茼
uni833D	U+833D	茽
uni833E	U+833E	茾
uni833F	U+833F	茿
uni8340	U+8340	荀
uni8341	U+8341	荁
uni8342	U+8342	荂
uni8343	U+8343	荃
uni8344	U+8344	荄
uni8345	U+8345	荅
uni8346	U+8346	荆
uni8347	U+8347	荇
uni8348	U+8348	荈
uni8349	U+8349	草
uni834A	U+834A	荊
uni834B	U+834B	荋
uni834C	U+834C	荌
uni834D	U+834D	荍
uni834E	U+834E	荎
uni834F	U+834F	荏
uni8350	U+8350	荐
uni8351	U+8351	荑
uni8352	U+8352	荒
uni8353	U+8353	荓
uni8354	U+8354	荔
uni8355	U+8355	荕
uni8356	U+8356	荖
uni8357	U+8357	荗
uni8358	U+8358	荘
uni8359	U+8359	荙
uni835A	U+835A	荚
uni835B	U+835B	荛
uni835C	U+835C	荜
uni835D	U+835D	荝
uni835E	U+835E	荞
uni835F	U+835F	荟
uni8360	U+8360	荠
uni8361	U+8361	荡
uni8362	U+8362	荢
uni8363	U+8363	荣
uni8364	U+8364	荤
uni8365	U+8365	荥
uni8366	U+8366	荦
uni8367	U+8367	荧
uni8368	U+8368	荨
uni8369	U+8369	荩
uni836A	U+836A	荪
uni836B	U+836B	荫
uni836C	U+836C	荬
uni836D	U+836D	荭
uni836E	U+836E	荮
uni836F	U+836F	药
uni8370	U+8370	荰
uni8371	U+8371	荱
uni8372	U+8372	荲
uni8373	U+8373	荳
uni8374	U+8374	荴
uni8375	U+8375	荵
uni8376	U+8376	荶
uni8377	U+8377	荷
uni8378	U+8378	荸
uni8379	U+8379	荹
uni837A	U+837A	荺
uni837B	U+837B	荻
uni837C	U+837C	荼
uni837D	U+837D	荽
uni837E	U+837E	荾
uni837F	U+837F	荿
uni8380	U+8380	莀
uni8381	U+8381	莁
uni8382	U+8382	莂
uni8383	U+8383	莃
uni8384	U+8384	莄
uni8385	U+8385	莅
uni8386	U+8386	莆
uni8387	U+8387	莇
uni8388	U+8388	莈
uni8389	U+8389	莉
uni838A	U+838A	莊
uni838B	U+838B	莋
uni838C	U+838C	莌
uni838D	U+838D	莍
uni838E	U+838E	莎
uni838F	U+838F	莏
uni8390	U+8390	莐
uni8391	U+8391	莑
uni8392	U+8392	莒
uni8393	U+8393	莓
uni8394	U+8394	莔
