uni5FF3	U+5FF3	忳
uni5FF4	U+5FF4	忴
uni5FF5	U+5FF5	念
uni5FF6	U+5FF6	忶
uni5FF7	U+5FF7	忷
uni5FF8	U+5FF8	忸
uni5FF9	U+5FF9	忹
uni5FFA	U+5FFA	忺
uni5FFB	U+5FFB	忻
uni5FFC	U+5FFC	忼
uni5FFD	U+5FFD	忽
uni5FFE	U+5FFE	忾
uni5FFF	U+5FFF	忿
uni6000	U+6000	怀
uni6001	U+6001	态
uni6002	U+6002	怂
uni6003	U+6003	怃
uni6004	U+6004	怄
uni6005	U+6005	怅
uni6006	U+6006	怆
uni6007	U+6007	怇
uni6008	U+6008	怈
uni6009	U+6009	怉
uni600A	U+600A	怊
uni600B	U+600B	怋
uni600C	U+600C	怌
uni600D	U+600D	怍
uni600E	U+600E	怎
uni600F	U+600F	怏
uni6010	U+6010	怐
uni6011	U+6011	怑
uni6012	U+6012	怒
uni6013	U+6013	怓
uni6014	U+6014	怔
uni6015	U+6015	怕
uni6016	U+6016	怖
uni6017	U+6017	怗
uni6018	U+6018	怘
uni6019	U+6019	怙
uni601A	U+601A	怚
uni601B	U+601B	怛
uni601C	U+601C	怜
uni601D	U+601D	思
uni601E	U+601E	怞
uni601F	U+601F	怟
uni6020	U+6020	怠
uni6021	U+6021	怡
uni6022	U+6022	怢
uni6023	U+6023	怣
uni6024	U+6024	怤
uni6025	U+6025	急
uni6026	U+6026	怦
uni6027	U+6027	性
uni6028	U+6028	怨
uni6029	U+6029	怩
uni602A	U+602A	怪
uni602B	U+602B	怫
uni602C	U+602C	怬
uni602D	U+602D	怭
uni602E	U+602E	怮
uni602F	U+602F	怯
uni6030	U+6030	怰
uni6031	U+6031	怱
uni6032	U+6032	怲
uni6033	U+6033	怳
uni6034	U+6034	怴
uni6035	U+6035	怵
uni6036	U+6036	怶
uni6037	U+6037	怷
uni6038	U+6038	怸
uni6039	U+6039	怹
uni603A	U+603A	怺
uni603B	U+603B	总
uni603C	U+603C	怼
uni603D	U+603D	怽
uni603E	U+603E	怾
uni603F	U+603F	怿
uni6040	U+6040	恀
uni6041	U+6041	恁
uni6042	U+6042	恂
uni6043	U+6043	恃
uni6044	U+6044	恄
uni6045	U+6045	恅
uni6046	U+6046	恆
uni6047	U+6047	恇
uni6048	U+6048	恈
uni6049	U+6049	恉
uni604A	U+604A	恊
uni604B	U+604B	恋
uni604C	U+604C	恌
uni604D	U+604D	恍
uni604E	U+604E	恎
uni604F	U+604F	恏
uni6050	U+6050	恐
uni6051	U+6051	恑
uni6052	U+6052	恒
uni6053	U+6053	恓
uni6054	U+6054	恔
uni6055	U+6055	恕
uni6056	U+6056	恖
uni6057	U+6057	恗
uni6058	U+6058	恘
uni6059	U+6059	恙
uni605A	U+605A	恚
uni605B	U+605B	恛
uni605C	U+605C	恜
uni605D	U+605D	恝
uni605E	U+605E	恞
uni605F	U+605F	恟
uni6060	U+6060	恠
uni6061	U+6061	恡
uni6062	U+6062	恢
uni6063	U+6063	恣
uni6064	U+6064	恤
uni6065	U+6065	恥
uni6066	U+6066	恦
uni6067	U+6067	恧
uni6068	U+6068	恨
uni6069	U+6069	恩
uni606A	U+606A	恪
uni606B	U+606B	恫
uni606C	U+606C	恬
uni606D	U+606D	恭
uni606E	U+606E	恮
uni606F	U+606F	息
uni6070	U+6070	恰
uni6071	U+6071	恱
uni6072	U+6072	恲
uni6073	U+6073	恳
uni6074	U+6074	恴
uni6075	U+6075	恵
uni6076	U+6076	恶
uni6077	U+6077	恷
uni6078	U+6078	恸
uni6079	U+6079	恹
uni607A	U+607A	恺
uni607B	U+607B	恻
uni607C	U+607C	恼
uni607D	U+607D	恽
uni607E	U+607E	恾
uni607F	U+607F	恿
uni6080	U+6080	悀
uni6081	U+6081	悁
uni6082	U+6082	悂
uni6083	U+6083	悃
uni6084	U+6084	悄
uni6085	U+6085	悅
uni6086	U+6086	悆
uni6087	U+6087	悇
uni6088	U+6088	悈
uni6089	U+6089	悉
uni608A	U+608A	悊
uni608B	U+608B	悋
uni608C	U+608C	悌
uni608D	U+608D	悍
uni608E	U+608E	悎
uni608F	U+608F	悏
uni6090	U+6090	悐
uni6091	U+6091	悑
uni6092	U+6092	悒
uni6093	U+6093	悓
uni6094	U+6094	悔
uni6095	U+6095	悕
uni6096	U+6096	悖
uni6097	U+6097	悗
uni6098	U+6098	悘
uni6099	U+6099	悙
uni609A	U+609A	悚
uni609B	U+609B	悛
uni609C	U+609C	悜
uni609D	U+609D	悝
uni609E	U+609E	悞
uni609F	U+609F	悟
uni60A0	U+60A0	悠
uni60A1	U+60A1	悡
uni60A2	U+60A2	悢
uni60A3	U+60A3	患
uni60A4	U+60A4	悤
uni60A5	U+60A5	悥
uni60A6	U+60A6	悦
uni60A7	U+60A7	悧
uni60A8	U+60A8	您
uni60A9	U+60A9	悩
uni60AA	U+60AA	悪
uni60AB	U+60AB	悫
uni60AC	U+60AC	悬
uni60AD	U+60AD	悭
uni60AE	U+60AE	悮
uni60AF	U+60AF	悯
uni60B0	U+60B0	悰
uni60B1	U+60B1	悱
uni60B2	U+60B2	悲
uni60B3	U+60B3	悳
uni60B4	U+60B4	悴
uni60B5	U+60B5	悵
uni60B6	U+60B6	悶
uni60B7	U+60B7	悷
uni60B8	U+60B8	悸
uni60B9	U+60B9	悹
uni60BA	U+60BA	悺
uni60BB	U+60BB	悻
uni60BC	U+60BC	悼
uni60BD	U+60BD	悽
uni60BE	U+60BE	悾
uni60BF	U+60BF	悿
uni60C0	U+60C0	惀
uni60C1	U+60C1	惁
uni60C2	U+60C2	惂
uni60C3	U+60C3	惃
uni60C4	U+60C4	惄
uni60C5	U+60C5	情
uni60C6	U+60C6	惆
uni60C7	U+60C7	惇
uni60C8	U+60C8	惈
uni60C9	U+60C9	惉
uni60CA	U+60CA	惊
uni60CB	U+60CB	惋
uni60CC	U+60CC	惌
uni60CD	U+60CD	惍
uni60CE	U+60CE	惎
uni60CF	U+60CF	惏
uni60D0	U+60D0	惐
uni60D1	U+60D1	惑
uni60D2	U+60D2	惒
uni60D3	U+60D3	惓
uni60D4	U+60D4	惔
uni60D5	U+60D5	惕
uni60D6	U+60D6	惖
uni60D7	U+60D7	惗
uni60D8	U+60D8	惘
uni60D9	U+60D9	惙
uni60DA	U+60DA	惚
uni60DB	U+60DB	惛
uni60DC	U+60DC	惜
uni60DD	U+60DD	惝
uni60DE	U+60DE	惞
uni60DF	U+60DF	惟
uni60E0	U+60E0	惠
uni60E1	U+60E1	惡
uni60E2	U+60E2	惢
uni60E3	U+60E3	惣
uni60E4	U+60E4	惤
uni60E5	U+60E5	惥
uni60E6	U+60E6	惦
uni60E7	U+60E7	惧
uni60E8	U+60E8	惨
uni60E9	U+60E9	惩
uni60EA	U+60EA	惪
uni60EB	U+60EB	惫
uni60EC	U+60EC	惬
uni60ED	U+60ED	惭
uni60EE	U+60EE	惮
uni60EF	U+60EF	惯
uni60F0	U+60F0	惰
uni60F1	U+60F1	惱
uni60F2	U+60F2	惲
uni60F3	U+60F3	想
uni60F4	U+60F4	惴
uni60F5	U+60F5	惵
uni60F6	U+60F6	惶
uni60F7	U+60F7	惷
uni60F8	U+60F8	惸
uni60F9	U+60F9	惹
uni60FA	U+60FA	惺
uni60FB	U+60FB	惻
uni60FC	U+60FC	惼
uni60FD	U+60FD	惽
uni60FE	U+60FE	惾
uni60FF	U+60FF	惿
uni6100	U+6100	愀
uni6101	U+6101	愁
uni6102	U+6102	愂
uni6103	U+6103	愃
uni6104	U+6104	愄
uni6105	U+6105	愅
uni6106	U+6106	愆
uni6107	U+6107	愇
uni6108	U+6108	愈
uni6109	U+6109	愉
uni610A	U+610A	愊
uni610B	U+610B	愋
uni610C	U+610C	愌
uni610D	U+610D	愍
uni610E	U+610E	愎
uni610F	U+610F	意
uni6110	U+6110	愐
uni6111	U+6111	愑
uni6112	U+6112	愒
uni6113	U+6113	愓
uni6114	U+6114	愔
uni6115	U+6115	愕
uni6116	U+6116	愖
uni6117	U+6117	愗
uni6118	U+6118	愘
uni6119	U+6119	愙
uni611A	U+611A	愚
uni611B	U+611B	愛
uni611C	U+611C	愜
uni611D	U+611D	愝
uni611E	U+611E	愞
uni611F	U+611F	感
uni6120	U+6120	愠
uni6121	U+6121	愡
uni6122	U+6122	愢
uni6123	U+6123	愣
uni6124	U+6124	愤
uni6125	U+6125	愥
uni6126	U+6126	愦
uni6127	U+6127	愧
uni6128	U+6128	愨
uni6129	U+6129	愩
uni612A	U+612A	愪
uni612B	U+612B	愫
uni612C	U+612C	愬
uni612D	U+612D	愭
uni612E	U+612E	愮
uni612F	U+612F	愯
uni6130	U+6130	愰
uni6131	U+6131	愱
uni6132	U+6132	愲
uni6133	U+6133	愳
uni6134	U+6134	愴
uni6135	U+6135	愵
uni6136	U+6136	愶
uni6137	U+6137	愷
uni6138	U+6138	愸
uni6139	U+6139	愹
uni613A	U+613A	愺
uni613B	U+613B	愻
uni613C	U+613C	愼
uni613D	U+613D	愽
uni613E	U+613E	愾
uni613F	U+613F	愿
uni6140	U+6140	慀
uni6141	U+6141	慁
uni6142	U+6142	慂
uni6143	U+6143	慃
uni6144	U+6144	慄
uni6145	U+6145	慅
uni6146	U+6146	慆
uni6147	U+6147	慇
uni6148	U+6148	慈
uni6149	U+6149	慉
uni614A	U+614A	慊
uni614B	U+614B	態
uni614C	U+614C	慌
uni614D	U+614D	慍
uni614E	U+614E	慎
uni614F	U+614F	慏
uni6150	U+6150	慐
uni6151	U+6151	慑
uni6152	U+6152	慒
uni6153	U+6153	慓
uni6154	U+6154	慔
uni6155	U+6155	慕
uni6156	U+6156	慖
uni6157	U+6157	慗
uni6158	U+6158	慘
uni6159	U+6159	慙
uni615A	U+615A	慚
uni615B	U+615B	慛
uni615C	U+615C	慜
uni615D	U+615D	慝
uni615E	U+615E	慞
uni615F	U+615F	慟
uni6160	U+6160	慠
uni6161	U+6161	慡
uni6162	U+6162	慢
uni6163	U+6163	慣
uni6164	U+6164	慤
uni6165	U+6165	慥
uni6166	U+6166	慦
uni6167	U+6167	慧
uni6168	U+6168	慨
uni6169	U+6169	慩
uni616A	U+616A	慪
uni616B	U+616B	慫
uni616C	U+616C	慬
uni616D	U+616D	慭
uni616E	U+616E	慮
uni616F	U+616F	慯
uni6170	U+6170	慰
uni6171	U+6171	慱
uni6172	U+6172	慲
uni6173	U+6173	慳
uni6174	U+6174	慴
uni6175	U+6175	慵
uni6176	U+6176	慶
uni6177	U+6177	慷
uni6178	U+6178	慸
uni6179	U+6179	慹
uni617A	U+617A	慺
uni617B	U+617B	慻
uni617C	U+617C	慼
uni617D	U+617D	慽
uni617E	U+617E	慾
uni617F	U+617F	慿
uni6180	U+6180	憀
uni6181	U+6181	憁
uni6182	U+6182	憂
uni6183	U+6183	憃
uni6184	U+6184	憄
uni6185	U+6185	憅
uni6186	U+6186	憆
uni6187	U+6187	憇
uni6188	U+6188	憈
uni6189	U+6189	憉
uni618A	U+618A	憊
uni618B	U+618B	憋
uni618C	U+618C	憌
uni618D	U+618D	憍
uni618E	U+618E	憎
uni618F	U+618F	憏
uni6190	U+6190	憐
uni6191	U+6191	憑
uni6192	U+6192	憒
uni6193	U+6193	憓
uni6194	U+6194	憔
uni6195	U+6195	憕
uni6196	U+6196	憖
uni6197	U+6197	憗
uni6198	U+6198	憘
uni6199	U+6199	憙
uni619A	U+619A	憚
uni619B	U+619B	憛
uni619C	U+619C	憜
uni619D	U+619D	憝
uni619E	U+619E	憞
uni619F	U+619F	憟
uni61A0	U+61A0	憠
uni61A1	U+61A1	憡
uni61A2	U+61A2	憢
uni61A3	U+61A3	憣
uni61A4	U+61A4	憤
uni61A5	U+61A5	憥
uni61A6	U+61A6	憦
uni61A7	U+61A7	憧
uni61A8	U+61A8	憨
uni61A9	U+61A9	憩
uni61AA	U+61AA	憪
uni61AB	U+61AB	憫
uni61AC	U+61AC	憬
uni61AD	U+61AD	憭
uni61AE	U+61AE	憮
uni61AF	U+61AF	憯
uni61B0	U+61B0	憰
uni61B1	U+61B1	憱
uni61B2	U+61B2	憲
uni61B3	U+61B3	憳
uni61B4	U+61B4	憴
uni61B5	U+61B5	憵
uni61B6	U+61B6	憶
uni61B7	U+61B7	憷
uni61B8	U+61B8	憸
uni61B9	U+61B9	憹
uni61BA	U+61BA	憺
uni61BB	U+61BB	憻
uni61BC	U+61BC	憼
uni61BD	U+61BD	憽
uni61BE	U+61BE	憾
uni61BF	U+61BF	憿
uni61C0	U+61C0	懀
uni61C1	U+61C1	懁
uni61C2	U+61C2	懂
uni61C3	U+61C3	懃
uni61C4	U+61C4	懄
uni61C5	U+61C5	懅
uni61C6	U+61C6	懆
uni61C7	U+61C7	懇
uni61C8	U+61C8	懈
uni61C9	U+61C9	應
uni61CA	U+61CA	懊
uni61CB	U+61CB	懋
uni61CC	U+61CC	懌
uni61CD	U+61CD	懍
uni61CE	U+61CE	懎
uni61CF	U+61CF	懏
uni61D0	U+61D0	懐
uni61D1	U+61D1	懑
uni61D2	U+61D2	懒
uni61D3	U+61D3	懓
uni61D4	U+61D4	懔
uni61D5	U+61D5	懕
uni61D6	U+61D6	懖
uni61D7	U+61D7	懗
uni61D8	U+61D8	懘
uni61D9	U+61D9	懙
uni61DA	U+61DA	懚
uni61DB	U+61DB	懛
uni61DC	U+61DC	懜
uni61DD	U+61DD	懝
uni61DE	U+61DE	懞
uni61DF	U+61DF	懟
uni61E0	U+61E0	懠
uni61E1	U+61E1	懡
uni61E2	U+61E2	懢
uni61E3	U+61E3	懣
uni61E4	U+61E4	懤
uni61E5	U+61E5	懥
uni61E6	U+61E6	懦
uni61E7	U+61E7	懧
uni61E8	U+61E8	懨
uni61E9	U+61E9	懩
uni61EA	U+61EA	懪
uni61EB	U+61EB	懫
uni61EC	U+61EC	懬
uni61ED	U+61ED	懭
uni61EE	U+61EE	懮
uni61EF	U+61EF	懯
uni61F0	U+61F0	懰
uni61F1	U+61F1	懱
uni61F2	U+61F2	懲
uni61F3	U+61F3	懳
uni61F4	U+61F4	懴
uni61F5	U+61F5	懵
uni61F6	U+61F6	懶
uni61F7	U+61F7	懷
uni61F8	U+61F8	懸
uni61F9	U+61F9	懹
uni61FA	U+61FA	懺
uni61FB	U+61FB	懻
uni61FC	U+61FC	懼
uni61FD	U+61FD	懽
uni61FE	U+61FE	懾
uni61FF	U+61FF	懿
uni6200	U+6200	戀
uni6201	U+6201	戁
uni6202	U+6202	戂
uni6203	U+6203	戃
uni6204	U+6204	戄
uni6205	U+6205	戅
uni6206	U+6206	戆
uni6207	U+6207	戇
uni6209	U+6209	戉
uni620A	U+620A	戊
uni620B	U+620B	戋
uni620C	U+620C	戌
uni620D	U+620D	戍
uni620E	U+620E	戎
uni620F	U+620F	戏
uni6210	U+6210	成
uni6211	U+6211	我
uni6212	U+6212	戒
uni6213	U+6213	戓
uni6214	U+6214	戔
uni6215	U+6215	戕
uni6216	U+6216	或
uni6217	U+6217	戗
uni6218	U+6218	战
uni6219	U+6219	戙
uni621A	U+621A	戚
uni621B	U+621B	戛
uni621C	U+621C	戜
uni621D	U+621D	戝
uni621E	U+621E	戞
uni621F	U+621F	戟
uni6220	U+6220	戠
uni6221	U+6221	戡
uni6222	U+6222	戢
uni6223	U+6223	戣
uni6224	U+6224	戤
uni6225	U+6225	戥
uni6226	U+6226	戦
uni6227	U+6227	戧
uni6228	U+6228	戨
uni6229	U+6229	戩
uni622A	U+622A	截
uni622B	U+622B	戫
uni622C	U+622C	戬
uni622D	U+622D	戭
uni622E	U+622E	戮
uni622F	U+622F	戯
uni6230	U+6230	戰
uni6231	U+6231	戱
uni6232	U+6232	戲
uni6233	U+6233	戳
uni6234	U+6234	戴
uni6235	U+6235	戵
uni6236	U+6236	戶
uni6237	U+6237	户
uni6239	U+6239	戹
uni623A	U+623A	戺
uni623B	U+623B	戻
uni623C	U+623C	戼
uni623D	U+623D	戽
uni623E	U+623E	戾
uni623F	U+623F	房
uni6240	U+6240	所
uni6241	U+6241	扁
uni6242	U+6242	扂
uni6243	U+6243	扃
uni6244	U+6244	扄
uni6245	U+6245	扅
uni6246	U+6246	扆
uni6247	U+6247	扇
uni6248	U+6248	扈
uni6249	U+6249	扉
uni624A	U+624A	扊
uni624D	U+624D	才
uni624E	U+624E	扎
uni624F	U+624F	扏
uni6250	U+6250	扐
uni6251	U+6251	扑
uni6252	U+6252	扒
uni6253	U+6253	打
uni6254	U+6254	扔
uni6255	U+6255	払
uni6256	U+6256	扖
uni6257	U+6257	扗
uni6258	U+6258	托
uni6259	U+6259	扙
uni625A	U+625A	扚
uni625B	U+625B	扛
uni625C	U+625C	扜
uni625D	U+625D	扝
uni625E	U+625E	扞
uni625F	U+625F	扟
uni6260	U+6260	扠
uni6261	U+6261	扡
uni6262	U+6262	扢
uni6263	U+6263	扣
uni6264	U+6264	扤
uni6265	U+6265	扥
uni6266	U+6266	扦
uni6267	U+6267	执
uni6268	U+6268	扨
uni6269	U+6269	扩
uni626A	U+626A	扪
uni626B	U+626B	扫
uni626C	U+626C	扬
uni626D	U+626D	扭
uni626E	U+626E	扮
uni626F	U+626F	扯
uni6270	U+6270	扰
uni6271	U+6271	扱
uni6272	U+6272	扲
uni6273	U+6273	扳
uni6274	U+6274	扴
uni6275	U+6275	扵
uni6276	U+6276	扶
uni6277	U+6277	扷
uni6278	U+6278	扸
uni6279	U+6279	批
uni627A	U+627A	扺
uni627B	U+627B	扻
uni627C	U+627C	扼
uni627D	U+627D	扽
uni627E	U+627E	找
uni627F	U+627F	承
uni6280	U+6280	技
uni6281	U+6281	抁
uni6282	U+6282	抂
uni6283	U+6283	抃
uni6284	U+6284	抄
uni6285	U+6285	抅
uni6286	U+6286	抆
uni6287	U+6287	抇
uni6288	U+6288	抈
uni6289	U+6289	抉
uni628A	U+628A	把
uni628B	U+628B	抋
uni628C	U+628C	抌
uni628D	U+628D	抍
uni628E	U+628E	抎
uni628F	U+628F	抏
uni6290	U+6290	抐
uni6291	U+6291	抑
uni6292	U+6292	抒
uni6293	U+6293	抓
uni6294	U+6294	抔
uni6295	U+6295	投
uni6296	U+6296	抖
uni6297	U+6297	抗
uni6298	U+6298	折
uni6299	U+6299	抙
uni629A	U+629A	抚
uni629B	U+629B	抛
uni629C	U+629C	抜
uni629D	U+629D	抝
uni629E	U+629E	択
uni629F	U+629F	抟
uni62A0	U+62A0	抠
uni62A1	U+62A1	抡
uni62A2	U+62A2	抢
uni62A3	U+62A3	抣
uni62A4	U+62A4	护
uni62A5	U+62A5	报
uni62A6	U+62A6	抦
uni62A7	U+62A7	抧
uni62A8	U+62A8	抨
uni62A9	U+62A9	抩
uni62AA	U+62AA	抪
uni62AB	U+62AB	披
uni62AC	U+62AC	抬
uni62AD	U+62AD	抭
uni62AE	U+62AE	抮
uni62AF	U+62AF	抯
uni62B0	U+62B0	抰
uni62B1	U+62B1	抱
uni62B2	U+62B2	抲
uni62B3	U+62B3	抳
uni62B4	U+62B4	抴
uni62B5	U+62B5	抵
uni62B6	U+62B6	抶
uni62B7	U+62B7	抷
uni62B8	U+62B8	抸
uni62B9	U+62B9	抹
uni62BA	U+62BA	抺
uni62BB	U+62BB	抻
uni62BC	U+62BC	押
uni62BD	U+62BD	抽
uni62BE	U+62BE	抾
uni62BF	U+62BF	抿
uni62C0	U+62C0	拀
uni62C1	U+62C1	拁
uni62C2	U+62C2	拂
uni62C3	U+62C3	拃
uni62C4	U+62C4	拄
uni62C5	U+62C5	担
uni62C6	U+62C6	拆
uni62C7	U+62C7	拇
uni62C8	U+62C8	拈
uni62C9	U+62C9	拉
uni62CA	U+62CA	拊
uni62CB	U+62CB	拋
uni62CC	U+62CC	拌
uni62CD	U+62CD	拍
uni62CE	U+62CE	拎
uni62CF	U+62CF	拏
uni62D0	U+62D0	拐
uni62D1	U+62D1	拑
uni62D2	U+62D2	拒
uni62D3	U+62D3	拓
uni62D4	U+62D4	拔
