ellipsis	U+2026	…
uniFE45	U+FE45	﹅
uniFE46	U+FE46	﹆
glyph63180	U+FF10	０
glyph63181	U+FF11	１
glyph63182	U+FF12	２
glyph63183	U+FF13	３
glyph63184	U+FF14	４
glyph63185	U+FF15	５
glyph63186	U+FF16	６
glyph63187	U+FF17	７
glyph63188	U+FF18	８
glyph63189	U+FF19	９
glyph63197	U+FF21	Ａ
glyph63198	U+FF22	Ｂ
glyph63199	U+FF23	Ｃ
glyph63200	U+FF24	Ｄ
glyph63201	U+FF25	Ｅ
glyph63202	U+FF26	Ｆ
glyph63203	U+FF27	Ｇ
glyph63204	U+FF28	Ｈ
glyph63205	U+FF29	Ｉ
glyph63206	U+FF2A	Ｊ
glyph63207	U+FF2B	Ｋ
glyph63208	U+FF2C	Ｌ
glyph63209	U+FF2D	Ｍ
glyph63210	U+FF2E	Ｎ
glyph63211	U+FF2F	Ｏ
glyph63212	U+FF30	Ｐ
glyph63213	U+FF31	Ｑ
glyph63214	U+FF32	Ｒ
glyph63215	U+FF33	Ｓ
glyph63216	U+FF34	Ｔ
glyph63217	U+FF35	Ｕ
glyph63218	U+FF36	Ｖ
glyph63219	U+FF37	Ｗ
glyph63220	U+FF38	Ｘ
glyph63221	U+FF39	Ｙ
glyph63222	U+FF3A	Ｚ
glyph63229	U+FF41	ａ
glyph63230	U+FF42	ｂ
glyph63231	U+FF43	ｃ
glyph63232	U+FF44	ｄ
glyph63233	U+FF45	ｅ
glyph63234	U+FF46	ｆ
glyph63235	U+FF47	ｇ
glyph63236	U+FF48	ｈ
glyph63237	U+FF49	ｉ
glyph63238	U+FF4A	ｊ
glyph63239	U+FF4B	ｋ
glyph63240	U+FF4C	ｌ
glyph63241	U+FF4D	ｍ
glyph63242	U+FF4E	ｎ
glyph63243	U+FF4F	ｏ
glyph63244	U+FF50	ｐ
glyph63245	U+FF51	ｑ
glyph63246	U+FF52	ｒ
glyph63247	U+FF53	ｓ
glyph63248	U+FF54	ｔ
glyph63249	U+FF55	ｕ
glyph63250	U+FF56	ｖ
glyph63251	U+FF57	ｗ
glyph63252	U+FF58	ｘ
glyph63253	U+FF59	ｙ
glyph63254	U+FF5A	ｚ
glyph63129	U+2018	‘
glyph63130	U+2019	’
glyph63132	U+201C	“
glyph63133	U+201D	”
