uni31F8	U+31F8	ㇸ
uni31F9	U+31F9	ㇹ
uni31FA	U+31FA	ㇺ
uni31FB	U+31FB	ㇻ
uni31FC	U+31FC	ㇼ
uni31FD	U+31FD	ㇽ
uni31FE	U+31FE	ㇾ
uni31FF	U+31FF	ㇿ
glyph65157	U+3041	ぁ
glyph65158	U+3042	あ
glyph65159	U+3043	ぃ
glyph65160	U+3044	い
glyph65161	U+3045	ぅ
glyph65162	U+3046	う
glyph65163	U+3047	ぇ
glyph65164	U+3048	え
glyph65165	U+3049	ぉ
glyph65166	U+304A	お
glyph65167	U+304B	か
glyph65168	U+304C	が
glyph65169	U+304D	き
glyph65170	U+304E	ぎ
glyph65171	U+304F	く
glyph65172	U+3050	ぐ
glyph65173	U+3051	け
glyph65174	U+3052	げ
glyph65175	U+3053	こ
glyph65176	U+3054	ご
glyph65177	U+3055	さ
glyph65178	U+3056	ざ
glyph65179	U+3057	し
glyph65180	U+3058	じ
glyph65181	U+3059	す
glyph65182	U+305A	ず
glyph65183	U+305B	せ
glyph65184	U+305C	ぜ
glyph65185	U+305D	そ
glyph65186	U+305E	ぞ
glyph65187	U+305F	た
glyph65188	U+3060	だ
glyph65189	U+3061	ち
glyph65190	U+3062	ぢ
glyph65191	U+3063	っ
glyph65192	U+3064	つ
glyph65193	U+3065	づ
glyph65194	U+3066	て
glyph65195	U+3067	で
glyph65196	U+3068	と
glyph65197	U+3069	ど
glyph65198	U+306A	な
glyph65199	U+306B	に
glyph65200	U+306C	ぬ
glyph65201	U+306D	ね
glyph65202	U+306E	の
glyph65203	U+306F	は
glyph65204	U+3070	ば
glyph65205	U+3071	ぱ
glyph65206	U+3072	ひ
glyph65207	U+3073	び
glyph65208	U+3074	ぴ
glyph65209	U+3075	ふ
glyph65210	U+3076	ぶ
glyph65211	U+3077	ぷ
glyph65212	U+3078	へ
glyph65213	U+3079	べ
glyph65214	U+307A	ぺ
glyph65215	U+307B	ほ
glyph65216	U+307C	ぼ
glyph65217	U+307D	ぽ
glyph65218	U+307E	ま
glyph65219	U+307F	み
glyph65220	U+3080	む
glyph65221	U+3081	め
glyph65222	U+3082	も
glyph65223	U+3083	ゃ
glyph65224	U+3084	や
glyph65225	U+3085	ゅ
glyph65226	U+3086	ゆ
glyph65227	U+3087	ょ
glyph65228	U+3088	よ
glyph65229	U+3089	ら
glyph65230	U+308A	り
glyph65231	U+308B	る
glyph65232	U+308C	れ
glyph65233	U+308D	ろ
glyph65234	U+308E	ゎ
glyph65235	U+308F	わ
glyph65236	U+3090	ゐ
glyph65237	U+3091	ゑ
glyph65238	U+3092	を
glyph65239	U+3093	ん
glyph65240	U+3094	ゔ
glyph65241	U+3095	ゕ
