uni6C10	U+6C10	氐
uni6C12	U+6C12	氒
uni6C13	U+6C13	氓
uni6C15	U+6C15	氕
uni6C16	U+6C16	氖
uni6C17	U+6C17	気
uni6C18	U+6C18	氘
uni6C19	U+6C19	氙
uni6C1A	U+6C1A	氚
uni6C1B	U+6C1B	氛
uni6C1C	U+6C1C	氜
uni6C1D	U+6C1D	氝
uni6C1E	U+6C1E	氞
uni6C1F	U+6C1F	氟
uni6C20	U+6C20	氠
uni6C21	U+6C21	氡
uni6C22	U+6C22	氢
uni6C23	U+6C23	氣
uni6C24	U+6C24	氤
uni6C25	U+6C25	氥
uni6C26	U+6C26	氦
uni6C27	U+6C27	氧
uni6C28	U+6C28	氨
uni6C29	U+6C29	氩
uni6C2A	U+6C2A	氪
uni6C2B	U+6C2B	氫
uni6C2C	U+6C2C	氬
uni6C2D	U+6C2D	氭
uni6C2E	U+6C2E	氮
uni6C2F	U+6C2F	氯
uni6C30	U+6C30	氰
uni6C31	U+6C31	氱
uni6C32	U+6C32	氲
uni6C33	U+6C33	氳
uni6C36	U+6C36	氶
uni6C37	U+6C37	氷
uni6C38	U+6C38	永
uni6C39	U+6C39	氹
uni6C3A	U+6C3A	氺
uni6C3B	U+6C3B	氻
uni6C3C	U+6C3C	氼
uni6C3D	U+6C3D	氽
uni6C3E	U+6C3E	氾
uni6C3F	U+6C3F	氿
uni6C40	U+6C40	汀
uni6C41	U+6C41	汁
uni6C42	U+6C42	求
uni6C43	U+6C43	汃
uni6C44	U+6C44	汄
uni6C45	U+6C45	汅
uni6C46	U+6C46	汆
uni6C47	U+6C47	汇
uni6C48	U+6C48	汈
uni6C49	U+6C49	汉
uni6C4A	U+6C4A	汊
uni6C4B	U+6C4B	汋
uni6C4C	U+6C4C	汌
uni6C4D	U+6C4D	汍
uni6C4E	U+6C4E	汎
uni6C4F	U+6C4F	汏
uni6C50	U+6C50	汐
uni6C51	U+6C51	汑
uni6C52	U+6C52	汒
uni6C53	U+6C53	汓
uni6C54	U+6C54	汔
uni6C55	U+6C55	汕
uni6C56	U+6C56	汖
uni6C57	U+6C57	汗
uni6C58	U+6C58	汘
uni6C59	U+6C59	汙
uni6C5A	U+6C5A	汚
uni6C5B	U+6C5B	汛
uni6C5C	U+6C5C	汜
uni6C5D	U+6C5D	汝
uni6C5E	U+6C5E	汞
uni6C5F	U+6C5F	江
uni6C60	U+6C60	池
uni6C61	U+6C61	污
uni6C62	U+6C62	汢
uni6C63	U+6C63	汣
uni6C64	U+6C64	汤
uni6C65	U+6C65	汥
uni6C66	U+6C66	汦
uni6C67	U+6C67	汧
uni6C68	U+6C68	汨
uni6C69	U+6C69	汩
uni6C6A	U+6C6A	汪
uni6C6B	U+6C6B	汫
uni6C6C	U+6C6C	汬
uni6C6D	U+6C6D	汭
uni6C6E	U+6C6E	汮
uni6C6F	U+6C6F	汯
uni6C70	U+6C70	汰
uni6C71	U+6C71	汱
uni6C72	U+6C72	汲
uni6C73	U+6C73	汳
uni6C74	U+6C74	汴
uni6C75	U+6C75	汵
uni6C76	U+6C76	汶
uni6C77	U+6C77	汷
uni6C78	U+6C78	汸
uni6C79	U+6C79	汹
uni6C7A	U+6C7A	決
uni6C7B	U+6C7B	汻
uni6C7C	U+6C7C	汼
uni6C7D	U+6C7D	汽
uni6C7E	U+6C7E	汾
uni6C7F	U+6C7F	汿
uni6C80	U+6C80	沀
uni6C81	U+6C81	沁
uni6C82	U+6C82	沂
uni6C83	U+6C83	沃
uni6C84	U+6C84	沄
uni6C85	U+6C85	沅
uni6C86	U+6C86	沆
uni6C87	U+6C87	沇
uni6C88	U+6C88	沈
uni6C89	U+6C89	沉
uni6C8A	U+6C8A	沊
uni6C8B	U+6C8B	沋
uni6C8C	U+6C8C	沌
uni6C8D	U+6C8D	沍
uni6C8E	U+6C8E	沎
uni6C8F	U+6C8F	沏
uni6C90	U+6C90	沐
uni6C91	U+6C91	沑
uni6C92	U+6C92	沒
uni6C93	U+6C93	沓
uni6C94	U+6C94	沔
uni6C95	U+6C95	沕
uni6C96	U+6C96	沖
uni6C97	U+6C97	沗
uni6C98	U+6C98	沘
