U+82D2	苒
U+82D8	苘
U+830C	茌
U+82FB	苻
U+82D3	苓
U+831A	茚
U+8306	茆
U+8311	茑
U+8313	茓
U+8314	茔
U+8315	茕
U+8300	茀
U+82D5	苕
U+67A5	枥
U+6787	枇
U+676A	杪
U+6773	杳
U+67A7	枧
U+6775	杵
U+67A8	枨
U+679E	枞
U+678B	枋
U+677B	杻
U+6777	杷
U+677C	杼
U+77F8	矸
U+7800	砀
U+5233	刳
U+5944	奄
U+74EF	瓯
U+6B81	殁
U+90CF	郏
U+8F6D	轭
U+90C5	郅
U+9E22	鸢
U+76F1	盱
U+660A	昊
U+6619	昙
U+6772	杲
U+6603	昃
U+5482	咂
U+5478	呸
U+6615	昕
U+6600	昀
U+65FB	旻
U+6609	昉
U+7085	炅
U+5494	咔
U+7540	畀
U+866E	虮
U+5480	咀
U+5477	呷
U+9EFE	黾
U+5471	呱
U+5464	呤
U+549A	咚
U+5486	咆
U+549B	咛
U+5476	呶
U+5463	呣
U+5466	呦
U+549D	咝
U+5CA2	岢
U+5CBF	岿
U+5CAC	岬
U+5CAB	岫
U+5E19	帙
U+5CA3	岣
U+5CC1	峁
U+523F	刿
U+8FE5	迥
U+5CB7	岷
U+5240	剀
U+5E14	帔
U+5CC4	峄
U+6C93	沓
U+56F9	囹
U+7F54	罔
U+948D	钍
U+948E	钎
U+948F	钏
U+9492	钒
U+9495	钕
U+9497	钗
U+90BE	邾
U+8FEE	迮
U+7266	牦
U+7AFA	竺
U+8FE4	迤
U+4F76	佶
U+4F6C	佬
U+4F70	佰
U+4F91	侑
U+4F89	侉
U+81FE	臾
U+5CB1	岱
U+4F97	侗
U+4F83	侃
U+4F8F	侏
U+4FA9	侩
U+4F7B	佻
U+4F7E	佾
U+4FAA	侪
U+4F7C	佼
U+4F6F	佯
U+4FAC	侬
U+5E1B	帛
U+961C	阜
U+4F94	侔
U+5F82	徂
U+523D	刽
U+90C4	郄
U+6002	怂
U+7C74	籴
U+74EE	瓮
U+6217	戗
U+80BC	肼
U+43DD	䏝
U+80BD	肽
U+80B1	肱
U+80AB	肫
U+5241	剁
U+8FE9	迩
U+90C7	郇
U+72D9	狙
U+72CE	狎
U+72CD	狍
U+72D2	狒
U+548E	咎
U+7099	炙
U+67AD	枭
U+996F	饯
U+9974	饴
U+51BD	冽
U+51BC	冼
U+5E96	庖
U+75A0	疠
U+759D	疝
U+75A1	疡
U+5156	兖
U+59BE	妾
U+52BE	劾
U+709C	炜
U+2C27C	𬉼
U+7096	炖
U+7098	炘
U+709D	炝
U+7094	炔
U+6CD4	泔
U+6CAD	沭
U+6CF7	泷
U+6CF8	泸
U+6CF1	泱
U+6CC5	泅
U+6CD7	泗
U+6CE0	泠
U+6CFA	泺
U+6CD6	泖
U+6CEB	泫
U+6CEE	泮
U+6CB1	沱
U+6CEF	泯
U+6CD3	泓
U+6CFE	泾
U+6019	怙
U+6035	怵
U+6026	怦
U+601B	怛
U+600F	怏
U+600D	怍
U+3918	㤘
U+6029	怩
U+602B	怫
U+603F	怿
U+5B95	宕
U+7A79	穹
U+5B93	宓
U+8BD3	诓
U+8BD4	诔
U+8BD6	诖
U+8BD8	诘
U+623E	戾
U+8BD9	诙
U+623D	戽
U+90D3	郓
U+8869	衩
U+7946	祆
U+794E	祎
U+7949	祉
U+7947	祇
U+8BDB	诛
U+8BDC	诜
U+8BDF	诟
U+8BE0	诠
U+8BE3	诣
U+8BE4	诤
U+8BE7	诧
U+8BE8	诨
U+8BE9	诩
U+6215	戕
U+5B62	孢
U+4E9F	亟
U+9654	陔
U+59B2	妲
