U+FA6C	𤋮
U+FA6D	舘
U+2000B	𠀋
U+20021	𠀡
U+20024	𠀤
U+2003E	𠀾
U+20046	𠁆
U+2004E	𠁎
U+20068	𠁨
U+20086	𠂆
U+2008A	𠂊
U+20094	𠂔
U+200A2	𠂢
U+200A4	𠂤
U+200B0	𠂰
U+200CA	𠃊
U+200CB	𠃋
U+200CD	𠃍
U+200D1	𠃑
U+200D7	𠃗
U+200EE	𠃮
U+200F5	𠃵
U+2010C	𠄌
U+2010E	𠄎
U+20118	𠄘
U+2012C	𠄬
U+20158	𠅘
U+201A2	𠆢
U+201A4	𠆤
U+201A9	𠆩
U+201AB	𠆫
U+201C1	𠇁
U+201D4	𠇔
U+201F2	𠇲
U+20204	𠈄
U+2020C	𠈌
U+20213	𠈓
U+20214	𠈔
U+20239	𠈹
U+2025B	𠉛
U+20274	𠉴
U+20275	𠉵
U+2028E	𠊎
U+20299	𠊙
U+2029E	𠊞
U+202A0	𠊠
U+202B7	𠊷
U+202BF	𠊿
U+202C0	𠋀
U+202E5	𠋥
U+2030A	𠌊
U+20325	𠌥
U+2032B	𠌫
U+20341	𠍁
U+20345	𠍅
U+20346	𠍆
U+20347	𠍇
U+20371	𠍱
U+2037E	𠍾
U+2037F	𠍿
U+20380	𠎀
U+20381	𠎁
U+203A0	𠎠
U+203A7	𠎧
U+203B5	𠎵
U+203C9	𠏉
U+203CB	𠏋
U+203F5	𠏵
U+203F9	𠏹
U+203FC	𠏼
U+20413	𠐓
U+20414	𠐔
U+2041F	𠐟
U+2042D	𠐭
U+2044A	𠑊
U+20465	𠑥
U+20487	𠒇
U+2048E	𠒎
U+20491	𠒑
U+20492	𠒒
U+204A3	𠒣
U+204D7	𠓗
U+204FC	𠓼
U+204FE	𠓾
U+20509	𠔉
U+2053F	𠔿
U+20547	𠕇
U+2058E	𠖎
U+205A5	𠖥
U+205B1	𠖱
U+205B3	𠖳
U+205C3	𠗃
U+205CA	𠗊
U+205D0	𠗐
U+205D5	𠗕
U+205D6	𠗖
U+205DF	𠗟
U+205E0	𠗠
U+205EB	𠗫
U+20611	𠘑
U+20615	𠘕
U+20619	𠘙
U+2061A	𠘚
U+20630	𠘰
U+20656	𠙖
U+206EC	𠛬
U+2070E	𠜎
U+20731	𠜱
U+2074F	𠝏
U+20779	𠝹
U+207C8	𠟈
U+20807	𠠇
U+2082C	𠠬
U+2083A	𠠺
U+20873	𠡳
U+208B9	𠢹
U+208D5	𠣕
U+2090E	𠤎
U+20916	𠤖
U+20923	𠤣
U+20954	𠥔
U+20979	𠥹
U+2097C	𠥼
U+20984	𠦄
U+2099D	𠦝
U+209E7	𠧧
U+20A11	𠨑
U+20A50	𠩐
U+20A64	𠩤
U+20A6F	𠩯
U+20A8A	𠪊
U+20AB4	𠪴
U+20AC2	𠫂
U+20ACD	𠫍
U+20AD3	𠫓
U+20B0D	𠬍
U+20B1D	𠬝
U+20B8F	𠮏
U+20B9F	𠮟
